Set	TimePoint	Median	SD	N	SE	nSamples	nGenes
PPI Network	Late prenatal	8.71777	2.16263083842934	1101	0.0651761543973056	1	1101
PPI Network	Early infancy	8.77701	2.09028278707419	4404	0.0314978847160347	4	1101
PPI Network	Late infancy	8.784875	2.13946644707266	8808	0.0227964292973504	8	1101
PPI Network	Early childhood	8.37716	1.97849013374107	13212	0.0172127240525438	12	1101
PPI Network	Late childhood	8.53706	2.0851766895155	4404	0.0314209423648625	4	1101
PPI Network	Adolescence	8.6079	2.08145506768963	13212	0.0181085116862145	12	1101
PPI Network	Adulthood	8.58726	2.09365279465907	26424	0.0128796891301735	24	1101
PPI Random	Early prenatal	6.16578	2.23547166125507	20919	0.0154560569320796	19	1101
PPI Random	Early mid-prenatal	6.16518	2.21719318790034	29727	0.0128596158129753	27	1101
PPI Random	Late mid-prenatal	6.15899	2.12658451427954	16515	0.0165479179182158	15	1101
PPI Random	Late prenatal	6.17337	2.11663000072718	1101	0.0637898069693468	1	1101
PPI Random	Early infancy	6.18694	2.0809954427868	4404	0.0313579363313036	4	1101
PPI Random	Late infancy	6.117005	2.13091956649104	8808	0.0227053606296654	8	1101
PPI Random	Early childhood	6.17122	1.95187374000102	13212	0.0169811633119021	12	1101
PPI Random	Late childhood	6.174285	2.07730728430064	4404	0.0313023605060947	4	1101
PPI Random	Adolescence	6.137435	2.07166730610851	13212	0.0180233588536001	12	1101
PPI Random	Adulthood	6.13491	2.06814442143172	26424	0.0127227672574433	24	1101
PGC3	Early prenatal	6.84741	2.16021091438918	23465	0.0141021677591039	19	1235
PGC3	Early mid-prenatal	6.89233	2.14472604033129	33345	0.0117450931081032	27	1235
PGC3	Late mid-prenatal	6.8211	2.0821025552528	18525	0.0152975897135466	15	1235
PGC3	Late prenatal	6.72467	2.07654514638613	1235	0.059089171240409	1	1235
PGC3	Early infancy	6.854515	2.06805356709446	4940	0.02942376946946	4	1235
PGC3	Late infancy	6.834905	2.09988197923462	9880	0.0211259581070953	8	1235
PGC3	Early childhood	6.730715	1.90168060386151	14820	0.0156211669935083	12	1235
PGC3	Late childhood	6.850945	2.02240200786556	4940	0.0287742500488583	4	1235
PGC3	Adolescence	6.803215	2.03595789120393	14820	0.016724174472657	12	1235
PGC3	Adulthood	6.73949	2.0343441643692	29640	0.0118164039138064	24	1235
PGC3 FINEMAP	Early prenatal	7.0837	2.17898505695519	1159	0.0640047983967083	19	61
PGC3 FINEMAP	Early mid-prenatal	7.50512	2.14147969008069	1647	0.0527675779408284	27	61
PGC3 FINEMAP	Late mid-prenatal	7.79177	2.0816787326128	915	0.0688181760986417	15	61
PGC3 FINEMAP	Late prenatal	7.8039	2.16715500649076	61	0.277475765362032	1	61
PGC3 FINEMAP	Early infancy	8.127155	2.0421076227837	244	0.130732544254204	4	61
PGC3 FINEMAP	Late infancy	7.87076	2.02879111526536	488	0.0918390585924913	8	61
PGC3 FINEMAP	Early childhood	7.54068	1.94098190605544	732	0.0717407555747067	12	61
PGC3 FINEMAP	Late childhood	7.59934	2.00554557205581	244	0.128391898804631	4	61
PGC3 FINEMAP	Adolescence	7.765525	2.01109314190209	732	0.0743321414182442	12	61
PGC3 FINEMAP	Adulthood	7.72383	2.02439464451031	1464	0.0529084015966233	24	61
PGC3 SMR	Early prenatal	7.837155	1.98669829876043	760	0.0720651215942327	19	40
PGC3 SMR	Early mid-prenatal	7.745445	1.93998278807507	1080	0.0590317963444711	27	40
PGC3 SMR	Late mid-prenatal	7.460375	1.93285789966839	600	0.0789085933249192	15	40
PGC3 SMR	Late prenatal	7.975075	2.07296913834547	40	0.327765199820419	1	40
PGC3 SMR	Early infancy	7.66739	1.95729296277968	160	0.154737595265074	4	40
PGC3 SMR	Late infancy	8.01248	2.10332406669518	320	0.117579389796043	8	40
PGC3 SMR	Early childhood	7.662155	1.92265066580178	480	0.0877565949884968	12	40
PGC3 SMR	Late childhood	7.70459	2.00744621193153	160	0.158702557749518	4	40
PGC3 SMR	Adolescence	7.727875	2.0219022971855	480	0.0922867914366675	12	40
PGC3 SMR	Adulthood	7.73716	2.04988929073132	960	0.0661598923714278	24	40
PGC3 Network	Early prenatal	8.83477	2.19530805885272	1805	0.0516721900120821	19	95
PGC3 Network	Early mid-prenatal	9.01831	2.15599931987064	2565	0.042570125919158	27	95
PGC3 Network	Late mid-prenatal	8.9939	2.15513556309721	1425	0.0570909357436769	15	95
PGC3 Network	Late prenatal	8.78686	2.26562342914115	95	0.232448059227575	1	95
PGC3 Network	Early infancy	9.076995	2.13732587342533	380	0.109642503874294	4	95
PGC3 Network	Late infancy	8.997355	2.2110380290862	760	0.0802027789096044	8	95
PGC3 Network	Early childhood	8.60982	2.00090814219536	1140	0.0592617846264225	12	95
PGC3 Network	Late childhood	8.62794	2.14829113316703	380	0.110205009830293	4	95
PGC3 Network	Adolescence	8.71898	2.1250611230149	1140	0.0629388785693676	12	95
PGC3 Network	Adulthood	8.689405	2.16622135034556	2280	0.0453665139408577	24	95
PGC3 Non-interactor	Early prenatal	8.59185	1.89674647272336	1843	0.0441821267768606	19	97
PGC3 Non-interactor	Early mid-prenatal	8.63071	1.83338260043937	2619	0.035824930470557	27	97
PGC3 Non-interactor	Late mid-prenatal	8.47147	1.84798526642148	1455	0.0484470132132604	15	97
PGC3 Non-interactor	Late prenatal	8.32586	1.90083212969222	97	0.193000261344576	1	97
PGC3 Non-interactor	Early infancy	8.55145	1.98053668184696	388	0.100546516240989	4	97
PGC3 Non-interactor	Late infancy	8.46332	2.00728527753337	776	0.0720573420839175	8	97
PGC3 Non-interactor	Early childhood	8.294235	1.8452790482519	1164	0.0540860867665246	12	97
PGC3 Non-interactor	Late childhood	8.70321	1.87668970882066	388	0.0952744849498391	4	97
PGC3 Non-interactor	Adolescence	8.509345	1.97483328274144	1164	0.057883388629465	12	97
PGC3 Non-interactor	Adulthood	8.451195	1.97351438904381	2328	0.0409024016666197	24	97
PGC3 Overlap	Early prenatal	8.37922	1.28348622254809	152	0.104104479511752	19	8
PGC3 Overlap	Early mid-prenatal	8.786955	1.291179710337	216	0.0878536515711177	27	8
PGC3 Overlap	Late mid-prenatal	8.34907	1.47173343438781	120	0.134350266774793	15	8
PGC3 Overlap	Late prenatal	8.682135	1.71759549242539	8	0.607261710014719	1	8
PGC3 Overlap	Early infancy	9.168975	1.56132642642037	32	0.276006125941901	4	8
PGC3 Overlap	Late infancy	9.00886	1.60873824182811	64	0.201092280228514	8	8
PGC3 Overlap	Early childhood	9.093275	1.33502723314834	96	0.136255646413878	12	8
PGC3 Overlap	Late childhood	9.426065	1.53893321300091	32	0.272047527676537	4	8
PGC3 Overlap	Adolescence	9.33073	1.50543647887733	96	0.153647967225901	12	8
PGC3 Overlap	Adulthood	9.021675	1.47868361970235	192	0.10671479823518	24	8
PGC3 Random	Early prenatal	6.21163	2.23162963834405	23465	0.0145683994680745	19	1235
PGC3 Random	Early mid-prenatal	6.19907	2.20914565701789	33345	0.0120978721492228	27	1235
PGC3 Random	Late mid-prenatal	6.17948	2.11819604382544	18525	0.0155627752002663	15	1235
PGC3 Random	Late prenatal	6.22186	2.11372181136436	1235	0.0601470525616359	1	1235
PGC3 Random	Early infancy	6.22285	2.06626286379888	4940	0.0293982917730426	4	1235
PGC3 Random	Late infancy	6.15865	2.11600020274116	9880	0.021288116227374	8	1235
PGC3 Random	Early childhood	6.19458	1.94142412752882	14820	0.0159476362327995	12	1235
PGC3 Random	Late childhood	6.210835	2.06495134093609	4940	0.0293796317407386	4	1235
PGC3 Random	Adolescence	6.158085	2.05981516819311	14820	0.0169201477118549	12	1235
PGC3 Random	Adulthood	6.153615	2.05658953485617	29640	0.0119456152279439	24	1235
CUL1	Early prenatal	9.96849	0.212103089983861	19	0.0486597860448612	19	1
CUL1	Early mid-prenatal	9.86633	0.288064002818719	27	0.0554379431904095	27	1
CUL1	Late mid-prenatal	9.76254	0.118082901641177	15	0.0304888741018752	15	1
CUL1	Late prenatal	8.95056	NA	1	NA	1	1
CUL1	Early infancy	9.202475	0.269897338430127	4	0.134948669215064	4	1
CUL1	Late infancy	9.23025	0.186737121548678	8	0.0660215424731633	8	1
CUL1	Early childhood	8.39254	0.416521975461589	12	0.120239537328071	12	1
CUL1	Late childhood	8.743045	0.211366124217356	4	0.105683062108678	4	1
CUL1	Adolescence	8.9657	0.437027444207056	12	0.126158956278099	12	1
CUL1	Adulthood	9.27788	0.378611638764541	24	0.0772837771376727	24	1
XPO7	Early prenatal	10.0387	0.190446092526152	19	0.043691330079668	19	1
XPO7	Early mid-prenatal	10.1618	0.217188555803005	27	0.0417979570525903	27	1
XPO7	Late mid-prenatal	10.0087	0.182514282081731	15	0.047124984996503	15	1
XPO7	Late prenatal	9.56153	NA	1	NA	1	1
XPO7	Early infancy	9.73437	0.238057677517445	4	0.119028838758723	4	1
XPO7	Late infancy	9.81111	0.151463164286615	8	0.0535503152835189	8	1
XPO7	Early childhood	9.33634	0.283609300575152	12	0.0818709530158729	12	1
XPO7	Late childhood	9.43394	0.113068063682899	4	0.0565340318414495	4	1
XPO7	Adolescence	9.67493	0.301143300061564	12	0.0869325826775982	12	1
XPO7	Adulthood	9.45536	0.228738875429186	24	0.0466911274282959	24	1
TRIO	Early prenatal	9.39369	0.634591756832506	19	0.145585333601938	19	1
TRIO	Early mid-prenatal	10.2034	0.504243900204501	27	0.0970417838400986	27	1
TRIO	Late mid-prenatal	10.4508	0.141017563242517	15	0.0364105782640678	15	1
TRIO	Late prenatal	9.08765	NA	1	NA	1	1
TRIO	Early infancy	9.77325	0.169130077159564	4	0.0845650385797818	4	1
TRIO	Late infancy	9.35575	0.323998299287313	8	0.114550697259484	8	1
TRIO	Early childhood	9.21815	0.319563376627889	12	0.0922500007596288	12	1
TRIO	Late childhood	8.59964	0.115815842900126	4	0.057907921450063	4	1
TRIO	Adolescence	8.96343	0.172478205129509	12	0.0497901690804327	12	1
TRIO	Adulthood	8.75908	0.260632609538583	24	0.053201408641631	24	1
CACNA1G	Early prenatal	4.93127	0.389732459436722	19	0.0894107581948546	19	1
CACNA1G	Early mid-prenatal	5.02607	0.729163659138315	27	0.140327611628933	27	1
CACNA1G	Late mid-prenatal	6.71785	0.486448129708752	15	0.125600367010383	15	1
CACNA1G	Late prenatal	6.75807	NA	1	NA	1	1
CACNA1G	Early infancy	8.44299	0.13853242291969	4	0.0692662114598451	4	1
CACNA1G	Late infancy	7.9523	0.52666259148495	8	0.186203344918144	8	1
CACNA1G	Early childhood	7.805735	0.502661293036797	12	0.145105816423	12	1
CACNA1G	Late childhood	6.798475	0.287962599698294	4	0.143981299849147	4	1
CACNA1G	Adolescence	7.865205	0.330746765278852	12	0.0954783669836717	12	1
CACNA1G	Adulthood	7.235455	0.433526943623629	24	0.088493316802185	24	1
SP4	Early prenatal	9.94443	0.290094513791908	19	0.0665522457733945	19	1
SP4	Early mid-prenatal	9.87593	0.253214365875546	27	0.0487311274336423	27	1
SP4	Late mid-prenatal	9.65153	0.219919517915077	15	0.0567829753594038	15	1
SP4	Late prenatal	9.98745	NA	1	NA	1	1
SP4	Early infancy	8.1636	0.502501678231028	4	0.251250839115514	4	1
SP4	Late infancy	7.755475	0.369667908495488	8	0.130697342442104	8	1
SP4	Early childhood	7.65925	0.60267103158784	12	0.173976141160015	12	1
SP4	Late childhood	7.452955	0.0908013140048096	4	0.0454006570024048	4	1
SP4	Adolescence	7.66633	0.273149408403832	12	0.0788514422354698	12	1
SP4	Adulthood	7.910315	0.262134679942972	24	0.0535080174790051	24	1
GRIA3	Early prenatal	9.76522	0.685093860757319	19	0.157171310835857	19	1
GRIA3	Early mid-prenatal	9.88895	0.517851288225224	27	0.0996605268856759	27	1
GRIA3	Late mid-prenatal	9.85669	0.380866709696763	15	0.0983393615853585	15	1
GRIA3	Late prenatal	9.71714	NA	1	NA	1	1
GRIA3	Early infancy	10.1522	0.0921527717072762	4	0.0460763858536381	4	1
GRIA3	Late infancy	10.34735	0.284415559035417	8	0.100556085234453	8	1
GRIA3	Early childhood	8.91392	0.461739643485275	12	0.133292753730873	12	1
GRIA3	Late childhood	9.12254	0.241009571455852	4	0.120504785727926	4	1
GRIA3	Adolescence	10.1588	0.526976400290258	12	0.15212498328208	12	1
GRIA3	Adulthood	10.21445	0.538023259849376	24	0.109823538031651	24	1
GRIN2A	Early prenatal	4.64131	0.378958511732643	19	0.0869390450756402	19	1
GRIN2A	Early mid-prenatal	5.31884	0.606951580880027	27	0.116807886202051	27	1
GRIN2A	Late mid-prenatal	6.3575	0.333905379015131	15	0.0862139981423118	15	1
GRIN2A	Late prenatal	8.1159	NA	1	NA	1	1
GRIN2A	Early infancy	10.1426	0.348567703550305	4	0.174283851775152	4	1
GRIN2A	Late infancy	9.99923	0.748119769818214	8	0.264500281189089	8	1
GRIN2A	Early childhood	8.969865	0.368760660291723	12	0.106452033242985	12	1
GRIN2A	Late childhood	8.62753	0.408477879776454	4	0.204238939888227	4	1
GRIN2A	Adolescence	9.76623	0.600798139787375	12	0.173435483867434	12	1
GRIN2A	Adulthood	9.709075	0.414327312818141	24	0.0845742085752461	24	1
HERC1	Early prenatal	9.52297	0.546110002593034	19	0.125286227018935	19	1
HERC1	Early mid-prenatal	9.6735	0.234036387511616	27	0.0450403237766663	27	1
HERC1	Late mid-prenatal	9.56152	0.347755853763336	15	0.0897901753447695	15	1
HERC1	Late prenatal	9.06077	NA	1	NA	1	1
HERC1	Early infancy	9.28726	0.12490493998771	4	0.0624524699938548	4	1
HERC1	Late infancy	9.181135	0.229977176658748	8	0.0813092105667685	8	1
HERC1	Early childhood	8.787135	0.399641261872331	12	0.115366495060636	12	1
HERC1	Late childhood	8.568175	0.113669743958833	4	0.0568348719794163	4	1
HERC1	Adolescence	9.444975	0.292559108899381	12	0.0844545401384675	12	1
HERC1	Adulthood	9.42916	0.401475093663211	24	0.0819507603259126	24	1
RB1CC1	Early prenatal	9.55203	0.383113119529409	19	0.0878921774722797	19	1
RB1CC1	Early mid-prenatal	9.34179	0.260496721997082	27	0.0501326175226768	27	1
RB1CC1	Late mid-prenatal	9.22075	0.265198438275585	15	0.0684739423254371	15	1
RB1CC1	Late prenatal	9.45783	NA	1	NA	1	1
RB1CC1	Early infancy	9.000775	0.0924739563336615	4	0.0462369781668307	4	1
RB1CC1	Late infancy	9.0876	0.0877453088591392	8	0.0310226514558027	8	1
RB1CC1	Early childhood	9.035005	0.427910344528554	12	0.123527076301293	12	1
RB1CC1	Late childhood	9.372825	0.22671082153263	4	0.113355410766315	4	1
RB1CC1	Adolescence	9.16228	0.205606774846742	12	0.0593535634024886	12	1
RB1CC1	Adulthood	9.055705	0.294700679496421	24	0.0601555243014763	24	1
CACNA1C	Early prenatal	4.35465	0.351430970542069	19	0.0806237940117524	19	1
CACNA1C	Early mid-prenatal	4.95046	0.446411730667114	27	0.085911977623355	27	1
CACNA1C	Late mid-prenatal	5.99354	0.392102991580868	15	0.101240557092721	15	1
CACNA1C	Late prenatal	5.99532	NA	1	NA	1	1
CACNA1C	Early infancy	6.063125	0.251440950059187	4	0.125720475029594	4	1
CACNA1C	Late infancy	5.587615	0.34595285958546	8	0.122312806491878	8	1
CACNA1C	Early childhood	5.66964	0.386274229033146	12	0.111507765056651	12	1
CACNA1C	Late childhood	5.221545	0.236788928584087	4	0.118394464292044	4	1
CACNA1C	Adolescence	5.672335	0.205378559007507	12	0.0592876831643808	12	1
CACNA1C	Adulthood	5.66833	0.345223671549866	24	0.0704684868689454	24	1
CUL3	Early prenatal	10.8816	0.210901965945712	19	0.0483842292921796	19	1
CUL3	Early mid-prenatal	10.5745	0.274225628415311	27	0.052774746794758	27	1
CUL3	Late mid-prenatal	10.3306	0.248167110051732	15	0.0640764722871188	15	1
CUL3	Late prenatal	10.0524	NA	1	NA	1	1
CUL3	Early infancy	10.024005	0.145867137577317	4	0.0729335687886586	4	1
CUL3	Late infancy	10.3731	0.0763619190341064	8	0.0269980153867174	8	1
CUL3	Early childhood	9.496445	0.372140177673194	12	0.107427615877947	12	1
CUL3	Late childhood	10.000645	0.122098631271335	4	0.0610493156356674	4	1
CUL3	Adolescence	10.15105	0.443467097990369	12	0.128017924200741	12	1
CUL3	Adulthood	10.04325	0.313128783163816	24	0.0639171452108288	24	1
HCN1	Early prenatal	9.41367	1.2053043681572	19	0.276515786158178	19	1
HCN1	Early mid-prenatal	9.46949	0.675011086864526	27	0.129905944235739	27	1
HCN1	Late mid-prenatal	9.70138	0.418222109811567	15	0.107984484421062	15	1
HCN1	Late prenatal	10.0046	NA	1	NA	1	1
HCN1	Early infancy	10.6369	0.165927521828056	4	0.0829637609140279	4	1
HCN1	Late infancy	10.7333	0.636833749458994	8	0.225154731365455	8	1
HCN1	Early childhood	9.675085	0.921891695536543	12	0.266127209290852	12	1
HCN1	Late childhood	10.2312	0.206179396966169	4	0.103089698483085	4	1
HCN1	Adolescence	11.1913	0.697635391451767	12	0.201389990525444	12	1
HCN1	Adulthood	11.2409	0.382305358807836	24	0.0780377545842365	24	1
RIMS1	Early prenatal	6.58139	0.510315133044886	19	0.117074320752746	19	1
RIMS1	Early mid-prenatal	7.86171	0.800608458782846	27	0.154077169731256	27	1
RIMS1	Late mid-prenatal	8.45165	0.256183603830199	15	0.066146322080384	15	1
RIMS1	Late prenatal	8.34712	NA	1	NA	1	1
RIMS1	Early infancy	9.393	0.167670043314242	4	0.0838350216571212	4	1
RIMS1	Late infancy	9.792705	0.236464722225415	8	0.0836029042984922	8	1
RIMS1	Early childhood	9.2626	0.387755874733255	12	0.111935479328552	12	1
RIMS1	Late childhood	9.100205	0.163590687693401	4	0.0817953438467004	4	1
RIMS1	Adolescence	9.556505	0.308660527689868	12	0.0891026193749787	12	1
RIMS1	Adulthood	9.218205	0.238814415702029	24	0.0487477884742398	24	1
SYNGAP1	Early prenatal	6.37002	0.474087005836401	19	0.108763018362455	19	1
SYNGAP1	Early mid-prenatal	6.16768	0.273532607525112	27	0.0526413748622546	27	1
SYNGAP1	Late mid-prenatal	6.25174	0.36470649047197	15	0.0941668109234462	15	1
SYNGAP1	Late prenatal	5.3292	NA	1	NA	1	1
SYNGAP1	Early infancy	5.540635	0.363906249316588	4	0.181953124658294	4	1
SYNGAP1	Late infancy	5.642465	0.467122399191888	8	0.165152708056357	8	1
SYNGAP1	Early childhood	5.27146	0.220190618844838	12	0.0635635565315488	12	1
SYNGAP1	Late childhood	5.115635	0.0784610412880177	4	0.0392305206440088	4	1
SYNGAP1	Adolescence	5.40909	0.220291235955125	12	0.0635926021894033	12	1
SYNGAP1	Adulthood	5.237495	0.260385167200104	24	0.0531508996857948	24	1
TCF4	Early prenatal	11.7296	0.350192040798469	19	0.0803395640354105	19	1
TCF4	Early mid-prenatal	11.8668	0.230674184762122	27	0.0443932675558362	27	1
TCF4	Late mid-prenatal	12.0459	0.103044918545726	15	0.026606083562593	15	1
TCF4	Late prenatal	12.1639	NA	1	NA	1	1
TCF4	Early infancy	11.28845	0.11679727451158	4	0.0583986372557902	4	1
TCF4	Late infancy	11.01075	0.147893735982486	8	0.0522883318041143	8	1
TCF4	Early childhood	10.507	0.345504583572631	12	0.099738582165954	12	1
TCF4	Late childhood	10.4829	0.140512428275936	4	0.0702562141379681	4	1
TCF4	Adolescence	10.8271	0.147292365156288	12	0.0425196433362798	12	1
TCF4	Adulthood	10.9665	0.205233982940504	24	0.0418932113402753	24	1
CACNB2	Early prenatal	6.84117	0.650311335073552	19	0.149191652180244	19	1
CACNB2	Early mid-prenatal	7.1235	0.471682601830119	27	0.0907753590462275	27	1
CACNB2	Late mid-prenatal	7.32932	0.213075100873802	15	0.0550157544783801	15	1
CACNB2	Late prenatal	8.56135	NA	1	NA	1	1
