Gene	Chr	Start	End	SNP	Pvalue	FINEMAP	SMR	Network	Overlap
ADAMTSL4	1	150521884	150533413	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
ADAMTSL4-AS1	1	150533480	150533969	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
MCL1	1	150547032	150552066	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
ENSA	1	150573327	150602088	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
GOLPH3L	1	150618701	150669630	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
HORMAD1	1	150670536	150693364	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
CTSS	1	150702672	150738433	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
CTSK	1	150768684	150780799	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
ARNT	1	150782181	150849244	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
SETDB1	1	150898739	150937213	rs12138231	2.03e-10	FALSE	FALSE	TRUE	FALSE
CERS2	1	150933059	150947479	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
ANXA9	1	150954493	150968110	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
BNIPL	1	151009046	151020076	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
C1orf56	1	151020216	151024462	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
CDC42SE1	1	151023447	151042801	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
MLLT11	1	151030234	151040970	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
GABPB2	1	151043054	151098018	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
SEMA6C	1	151104161	151119104	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
TNFAIP8L2	1	151129105	151132225	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
SCNM1	1	151129140	151142773	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
LYSMD1	1	151132224	151138424	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
TMOD4	1	151142462	151148760	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
VPS72	1	151142463	151167797	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
INTS3	1	153700543	153746555	rs10559	1.061e-08	FALSE	FALSE	FALSE	FALSE
SLC27A3	1	153746830	153752633	rs10559	1.061e-08	FALSE	FALSE	FALSE	FALSE
GATAD2B	1	153777201	153895451	rs10559	1.061e-08	FALSE	FALSE	FALSE	FALSE
DENND4B	1	153901977	153919172	rs10559	1.061e-08	FALSE	FALSE	FALSE	FALSE
CRTC2	1	153920145	153931101	rs10559	1.061e-08	FALSE	FALSE	FALSE	FALSE
SLC39A1	1	153931575	153940188	rs10559	1.061e-08	FALSE	FALSE	FALSE	FALSE
CREB3L4	1	153940010	153946839	rs10559	1.061e-08	FALSE	TRUE	FALSE	FALSE
JTB	1	153946745	153950164	rs10559	1.061e-08	FALSE	FALSE	FALSE	FALSE
RAB13	1	153954127	153958834	rs10559	1.061e-08	FALSE	FALSE	TRUE	FALSE
RPS27	1	153963235	153964626	rs10559	1.061e-08	FALSE	FALSE	FALSE	FALSE
NUP210L	1	153965161	154127592	rs10559	1.061e-08	FALSE	FALSE	FALSE	FALSE
TPM3	1	154127784	154167124	rs10559	1.061e-08	FALSE	FALSE	TRUE	FALSE
C1orf189	1	154171848	154178809	rs10559	1.061e-08	FALSE	FALSE	FALSE	FALSE
C1orf43	1	154179182	154193104	rs10559	1.061e-08	FALSE	FALSE	FALSE	FALSE
UBAP2L	1	154192655	154243986	rs10559	1.061e-08	FALSE	FALSE	FALSE	FALSE
HAX1	1	154244987	154248351	rs10559	1.061e-08	FALSE	FALSE	FALSE	FALSE
AQP10	1	154293566	154297801	rs10559	1.061e-08	FALSE	FALSE	FALSE	FALSE
ATP8B2	1	154298029	154323783	rs10559	1.061e-08	FALSE	FALSE	FALSE	FALSE
PRDX6	1	173446405	173457946	rs61828917	6.264e-10	FALSE	FALSE	FALSE	FALSE
SLC9C2	1	173469603	173572233	rs61828917	6.264e-10	FALSE	FALSE	FALSE	FALSE
ANKRD45	1	173578700	173639001	rs61828917	6.264e-10	FALSE	FALSE	FALSE	FALSE
KLHL20	1	173684080	173755840	rs61828917	6.264e-10	FALSE	FALSE	FALSE	FALSE
CENPL	1	173768688	173793858	rs61828917	6.264e-10	FALSE	FALSE	FALSE	FALSE
DARS2	1	173793641	173827684	rs61828917	6.264e-10	FALSE	TRUE	FALSE	FALSE
ZBTB37	1	173837220	173872687	rs61828917	6.264e-10	FALSE	FALSE	FALSE	FALSE
SERPINC1	1	173872947	173886516	rs61828917	6.264e-10	FALSE	FALSE	FALSE	FALSE
RC3H1	1	173900352	173991435	rs61828917	6.264e-10	FALSE	FALSE	FALSE	FALSE
RABGAP1L	1	174128548	174964445	rs61828917	6.264e-10	FALSE	FALSE	FALSE	FALSE
GPR52	1	174417212	174418683	rs61828917	6.264e-10	FALSE	FALSE	FALSE	FALSE
CACYBP	1	174968300	174980851	rs61828917	6.264e-10	FALSE	FALSE	FALSE	FALSE
MRPS14	1	174979925	174992561	rs61828917	6.264e-10	FALSE	FALSE	FALSE	FALSE
TNN	1	175036994	175117202	rs61828917	6.264e-10	FALSE	FALSE	FALSE	FALSE
ASTN1	1	176826438	177134109	rs16851048	4.694e-14	FALSE	FALSE	TRUE	FALSE
BRINP2	1	177140633	177251558	rs16851048	4.694e-14	FALSE	FALSE	FALSE	FALSE
ZNF281	1	200374068	200379184	rs7515363	3.893e-09	FALSE	FALSE	FALSE	FALSE
CAMSAP2	1	200708686	200829832	rs12126806	6.879e-09	FALSE	FALSE	TRUE	FALSE
GPR25	1	200842083	200843306	rs12126806	6.879e-09	FALSE	FALSE	FALSE	FALSE
C1orf106	1	200860176	200884863	rs12126806	6.879e-09	FALSE	FALSE	FALSE	FALSE
KIF21B	1	200938520	200992828	rs12126806	6.879e-09	FALSE	FALSE	TRUE	FALSE
CACNA1S	1	201008642	201081694	rs12126806	6.879e-09	FALSE	FALSE	FALSE	FALSE
ITPKB	1	226819391	226927024	rs41314284	1.331e-08	FALSE	FALSE	FALSE	FALSE
SDCCAG8	1	243419320	243663394	rs61833239	6.386e-13	FALSE	FALSE	FALSE	FALSE
AKT3	1	243651535	244014381	rs61833239	6.386e-13	FALSE	TRUE	FALSE	FALSE
KLF6	10	3818188	3827473	rs17731	4.783e-14	TRUE	FALSE	FALSE	FALSE
CACNB2	10	18429606	18830798	rs7893279	1.269e-17	FALSE	FALSE	TRUE	FALSE
NSUN6	10	18834490	18940551	rs7893279	1.269e-17	FALSE	FALSE	FALSE	FALSE
ARL5B	10	18948334	18970568	rs7893279	1.269e-17	FALSE	FALSE	FALSE	FALSE
NEBL	10	21068902	21463116	rs2119242	1.245e-09	TRUE	FALSE	FALSE	FALSE
C10orf113	10	21414692	21435488	rs2119242	1.245e-09	FALSE	FALSE	FALSE	FALSE
ZNF365	10	64133951	64431771	rs10995239	3.381e-08	FALSE	FALSE	FALSE	FALSE
ADO	10	64564516	64568238	rs10995239	3.381e-08	FALSE	FALSE	FALSE	FALSE
EGR2	10	64571756	64679660	rs10995239	3.381e-08	FALSE	FALSE	FALSE	FALSE
RPP30	10	92631473	92668312	rs61857878	7.369e-10	FALSE	FALSE	FALSE	FALSE
ANKRD1	10	92671853	92681033	rs61857878	7.369e-10	FALSE	FALSE	FALSE	FALSE
GBF1	10	104005289	104142656	rs12571643	4.407e-25	FALSE	FALSE	FALSE	FALSE
NFKB2	10	104153867	104162281	rs12571643	4.407e-25	FALSE	FALSE	FALSE	FALSE
PSD	10	104162376	104181296	rs12571643	4.407e-25	FALSE	FALSE	FALSE	FALSE
FBXL15	10	104178946	104182893	rs12571643	4.407e-25	FALSE	FALSE	FALSE	FALSE
CUEDC2	10	104183002	104192418	rs12571643	4.407e-25	FALSE	FALSE	FALSE	FALSE
C10orf95	10	104209594	104211300	rs12571643	4.407e-25	FALSE	FALSE	FALSE	FALSE
ACTR1A	10	104238986	104262482	rs12571643	4.407e-25	FALSE	FALSE	TRUE	FALSE
SUFU	10	104263744	104393292	rs12571643	4.407e-25	FALSE	FALSE	FALSE	FALSE
TRIM8	10	104404253	104418164	rs12571643	4.407e-25	FALSE	FALSE	FALSE	FALSE
ARL3	10	104433488	104474164	rs12571643	4.407e-25	FALSE	FALSE	FALSE	FALSE
SFXN2	10	104474295	104503249	rs12571643	4.407e-25	FALSE	FALSE	FALSE	FALSE
WBP1L	10	104503727	104576021	rs12571643	4.407e-25	FALSE	FALSE	FALSE	FALSE
CYP17A1	10	104590288	104597290	rs12571643	4.407e-25	FALSE	FALSE	FALSE	FALSE
AS3MT	10	104629273	104661656	rs12571643	4.407e-25	FALSE	FALSE	FALSE	FALSE
CNNM2	10	104678050	104849978	rs12571643	4.407e-25	FALSE	FALSE	TRUE	FALSE
NT5C2	10	104845940	104953056	rs12571643	4.407e-25	FALSE	FALSE	FALSE	FALSE
RPEL1	10	105005644	105007773	rs12571643	4.407e-25	FALSE	FALSE	FALSE	FALSE
INA	10	105036920	105050108	rs12571643	4.407e-25	FALSE	FALSE	TRUE	FALSE
PCGF6	10	105062553	105110891	rs12571643	4.407e-25	FALSE	FALSE	FALSE	FALSE
TAF5	10	105127724	105148822	rs12571643	4.407e-25	FALSE	FALSE	FALSE	FALSE
USMG5	10	105148798	105156223	rs12571643	4.407e-25	FALSE	FALSE	FALSE	FALSE
PDCD11	10	105156405	105206049	rs12571643	4.407e-25	FALSE	FALSE	FALSE	FALSE
CALHM2	10	105206543	105212660	rs12571643	4.407e-25	FALSE	FALSE	FALSE	FALSE
CALHM1	10	105213144	105218645	rs12571643	4.407e-25	FALSE	FALSE	FALSE	FALSE
CALHM3	10	105232561	105238997	rs12571643	4.407e-25	FALSE	FALSE	FALSE	FALSE
NEURL1	10	105253736	105352309	rs12571643	4.407e-25	FALSE	FALSE	FALSE	FALSE
SORCS3	10	106400859	107024993	rs7900775	6.21e-10	FALSE	FALSE	FALSE	FALSE
TACC2	10	123748689	124014060	rs7902292	2.359e-08	FALSE	FALSE	FALSE	FALSE
LUZP2	11	24518516	25104150	rs12363019	3.568e-11	FALSE	FALSE	FALSE	FALSE
LGR4	11	27387508	27494322	rs4923457	3.892e-08	FALSE	FALSE	FALSE	FALSE
LIN7C	11	27516123	27528320	rs4923457	3.892e-08	FALSE	FALSE	TRUE	FALSE
BDNF	11	27676440	27743605	rs4923457	3.892e-08	FALSE	FALSE	TRUE	FALSE
KIF18A	11	28042167	28129855	rs10767735	4.659e-11	FALSE	FALSE	FALSE	FALSE
METTL15	11	28129795	28355054	rs10767735	4.659e-11	FALSE	FALSE	FALSE	FALSE
CREB3L1	11	46299212	46342972	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
DGKZ	11	46354455	46402104	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
MDK	11	46402306	46405375	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
CHRM4	11	46406640	46408107	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
AMBRA1	11	46417964	46615675	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
HARBI1	11	46624411	46639459	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
ATG13	11	46638826	46696368	rs2902858	4.567e-19	FALSE	TRUE	FALSE	FALSE
ARHGAP1	11	46698630	46722165	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
ZNF408	11	46722368	46727462	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
F2	11	46740730	46761056	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
CKAP5	11	46764598	46867847	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
LRP4	11	46878419	46940193	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
C11orf49	11	46958240	47185936	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
ARFGAP2	11	47185848	47198676	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
PACSIN3	11	47199076	47207994	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
DDB2	11	47236493	47260767	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
ACP2	11	47260853	47270457	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
NR1H3	11	47269851	47290396	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
MADD	11	47290712	47351582	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
MYBPC3	11	47352957	47374253	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
SPI1	11	47376411	47400127	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
SLC39A13	11	47428683	47438047	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
PSMC3	11	47440320	47447993	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
RAPSN	11	47459308	47470730	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
CELF1	11	47487496	47587121	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
NDUFS3	11	47586888	47606114	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
PTPMT1	11	47586982	47595013	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
KBTBD4	11	47599277	47599823	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
FAM180B	11	47608198	47610746	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
C1QTNF4	11	47611216	47616211	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
MTCH2	11	47638867	47664175	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
AGBL2	11	47681143	47736941	rs2902858	4.567e-19	FALSE	FALSE	FALSE	FALSE
RTN4RL2	11	57228022	57245007	rs708228	3.103e-10	FALSE	FALSE	FALSE	FALSE
SLC43A1	11	57252007	57283259	rs708228	3.103e-10	FALSE	FALSE	FALSE	FALSE
TIMM10	11	57295936	57298276	rs708228	3.103e-10	FALSE	FALSE	FALSE	FALSE
SMTNL1	11	57308979	57318108	rs708228	3.103e-10	FALSE	FALSE	FALSE	FALSE
UBE2L6	11	57319129	57335757	rs708228	3.103e-10	FALSE	FALSE	FALSE	FALSE
SERPING1	11	57364860	57382326	rs708228	3.103e-10	FALSE	FALSE	FALSE	FALSE
YPEL4	11	57412560	57417417	rs708228	3.103e-10	FALSE	FALSE	FALSE	FALSE
CLP1	11	57416465	57429340	rs708228	3.103e-10	FALSE	FALSE	FALSE	FALSE
ZDHHC5	11	57435219	57468659	rs708228	3.103e-10	FALSE	FALSE	FALSE	FALSE
MED19	11	57471186	57479693	rs708228	3.103e-10	FALSE	FALSE	FALSE	FALSE
TMX2	11	57480072	57508445	rs708228	3.103e-10	FALSE	FALSE	FALSE	FALSE
TMX2-CTNND1	11	57480077	57559058	rs708228	3.103e-10	FALSE	FALSE	FALSE	FALSE
BTBD18	11	57510986	57519253	rs708228	3.103e-10	FALSE	FALSE	FALSE	FALSE
CTNND1	11	57520715	57587018	rs708228	3.103e-10	FALSE	FALSE	TRUE	FALSE
OR9Q1	11	57791353	57949088	rs708228	3.103e-10	FALSE	FALSE	FALSE	FALSE
OR6Q1	11	57798402	57799403	rs708228	3.103e-10	FALSE	FALSE	FALSE	FALSE
LTBP3	11	65306276	65326401	rs11227250	1.827e-09	FALSE	FALSE	FALSE	FALSE
SSSCA1	11	65337901	65341413	rs11227250	1.827e-09	FALSE	FALSE	FALSE	FALSE
FAM89B	11	65339820	65341669	rs11227250	1.827e-09	FALSE	FALSE	TRUE	FALSE
EHBP1L1	11	65343509	65360121	rs11227250	1.827e-09	FALSE	FALSE	FALSE	FALSE
KCNK7	11	65360326	65363467	rs11227250	1.827e-09	FALSE	FALSE	FALSE	FALSE
MAP3K11	11	65365226	65382853	rs11227250	1.827e-09	FALSE	FALSE	FALSE	FALSE
SIPA1	11	65405568	65418401	rs11227250	1.827e-09	FALSE	FALSE	FALSE	FALSE
RELA	11	65421067	65430565	rs11227250	1.827e-09	FALSE	FALSE	FALSE	FALSE
KAT5	11	65479467	65487075	rs11227250	1.827e-09	FALSE	FALSE	FALSE	FALSE
RNASEH2C	11	65482367	65488418	rs11227250	1.827e-09	FALSE	TRUE	FALSE	FALSE
AP5B1	11	65543364	65548273	rs11227250	1.827e-09	FALSE	FALSE	FALSE	FALSE
OVOL1	11	65554493	65564690	rs11227250	1.827e-09	FALSE	FALSE	FALSE	FALSE
CFL1	11	65590493	65629497	rs11227250	1.827e-09	FALSE	FALSE	TRUE	FALSE
SNX32	11	65601112	65624367	rs11227250	1.827e-09	FALSE	FALSE	FALSE	FALSE
MUS81	11	65624597	65635124	rs11227250	1.827e-09	FALSE	FALSE	FALSE	FALSE
EFEMP2	11	65633912	65641063	rs11227250	1.827e-09	FALSE	FALSE	FALSE	FALSE
CTSW	11	65647280	65651212	rs11227250	1.827e-09	FALSE	FALSE	FALSE	FALSE
FIBP	11	65651212	65656010	rs11227250	1.827e-09	FALSE	FALSE	FALSE	FALSE
CCDC85B	11	65657875	65659105	rs11227250	1.827e-09	FALSE	FALSE	FALSE	FALSE
FOSL1	11	65659520	65668044	rs11227250	1.827e-09	FALSE	FALSE	FALSE	FALSE
C11orf68	11	65684279	65686588	rs11227250	1.827e-09	FALSE	FALSE	FALSE	FALSE
DRAP1	11	65686728	65689032	rs11227250	1.827e-09	FALSE	FALSE	FALSE	FALSE
CASP12	11	104756445	104769397	rs1144403	3.363e-08	FALSE	FALSE	FALSE	FALSE
CASP4	11	104813593	104840163	rs1144403	3.363e-08	FALSE	FALSE	FALSE	FALSE
CASP5	11	104864962	104893895	rs1144403	3.363e-08	FALSE	FALSE	FALSE	FALSE
CASP1	11	104896170	104972158	rs1144403	3.363e-08	FALSE	FALSE	FALSE	FALSE
CARD16	11	104912053	104972158	rs1144403	3.363e-08	FALSE	FALSE	FALSE	FALSE
NCAM1	11	112831997	113149158	rs12224032	2.918e-08	FALSE	FALSE	TRUE	FALSE
TTC12	11	113185251	113254266	rs61902811	8.041e-17	FALSE	FALSE	FALSE	FALSE
ANKK1	11	113258513	113271140	rs61902811	8.041e-17	FALSE	FALSE	FALSE	FALSE
DRD2	11	113280318	113346413	rs61902811	8.041e-17	FALSE	FALSE	FALSE	FALSE
GRAMD1B	11	123396344	123498482	rs77502336	7.615e-12	TRUE	FALSE	FALSE	FALSE
OR8B3	11	124266278	124267264	rs12282735	2.103e-08	FALSE	FALSE	FALSE	FALSE
OR8B4	11	124293807	124294789	rs12282735	2.103e-08	FALSE	FALSE	FALSE	FALSE
OR8B8	11	124310022	124311054	rs12282735	2.103e-08	FALSE	FALSE	FALSE	FALSE
