"Bait"	"Interactor"	"Forward.IP.WB"	"Reverse.IP.WB"	"Validated"	"InWeb"	"BioPlex"	"IPs"	"Bait_logFCs"	"Bait_FDRs"	"Interactor_logFCs"	"Interactor_FDRs"	"Number_IPs"
"36"	"RIMS1"	"MARK3"	TRUE	TRUE	TRUE	FALSE	FALSE	"RIMS1_wk4_1"	"1.1"	"6.6e-06"	"0.81"	"2.8e-05"	1
"37"	"RIMS1"	"PCM1"	FALSE	NA	FALSE	FALSE	FALSE	"RIMS1_wk4_2"	"1.5"	"6.5e-03"	"2.23"	"3.2e-03"	1
"38"	"RIMS1"	"RALY"	TRUE	NA	TRUE	FALSE	FALSE	"RIMS1_wk4_1"	"1.1"	"6.6e-06"	"1.26"	"1.8e-06"	1
"39"	"RIMS1"	"SRPK2"	TRUE	TRUE	TRUE	FALSE	FALSE	"RIMS1_wk4_2"	"1.5"	"6.5e-03"	"0.66"	"2.8e-02"	1
"40"	"SYNGAP1"	"CHD4"	FALSE	NA	FALSE	FALSE	FALSE	"SYNGAP1_wk3, SYNGAP1_wk4_1, SYNGAP1_wk4_2"	"1.2, 1.1, 1.1"	"3.2e-03, 4.1e-04, 1e-03"	"0.46, 0.45, 0.74"	"2.5e-02, 5.3e-03, 7.7e-03"	3
"41"	"SYNGAP1"	"CNTNAP1"	TRUE	NA	TRUE	FALSE	FALSE	"SYNGAP1_wk2, SYNGAP1_wk3, SYNGAP1_wk4_1, SYNGAP1_wk4_2, SYNGAP1_wk7"	"0.75, 1.2, 1.1, 1.1, 1.6"	"7.3e-02, 3.2e-03, 4.1e-04, 1e-03, 2e-04"	"0.93, 1.54, 1.37, 1.45, 1.77"	"4.8e-02, 2.4e-03, 2.1e-04, 2.3e-04, 2.0e-04"	5
"42"	"SYNGAP1"	"CTNND1"	TRUE	FALSE	TRUE	FALSE	FALSE	"SYNGAP1_wk4_1, SYNGAP1_wk4_2, SYNGAP1_wk7"	"1.1, 1.1, 1.6"	"4.1e-04, 1e-03, 2e-04"	"0.34, 0.48, 0.33"	"2.8e-02, 4.7e-02, 8.4e-02"	3
"43"	"SYNGAP1"	"ELAVL2"	TRUE	NA	TRUE	FALSE	FALSE	"SYNGAP1_wk4_1, SYNGAP1_wk4_2, SYNGAP1_wk7"	"1.1, 1.1, 1.6"	"4.1e-04, 1e-03, 2e-04"	"0.39, 0.50, 0.48"	"4.0e-02, 4.7e-02, 4.1e-02"	3
"44"	"SYNGAP1"	"ELAVL3"	NA	TRUE	TRUE	FALSE	FALSE	"SYNGAP1_wk3, SYNGAP1_wk4_1, SYNGAP1_wk4_2, SYNGAP1_wk7"	"1.2, 1.1, 1.1, 1.6"	"3.2e-03, 4.1e-04, 1e-03, 2e-04"	"0.55, 0.51, 0.62, 0.51"	"5.5e-02, 1.4e-02, 2.2e-02, 4.3e-02"	4
"45"	"SYNGAP1"	"EPN2"	NA	TRUE	TRUE	FALSE	FALSE	"SYNGAP1_wk4_2"	"1.1"	"1e-03"	"0.94"	"4.6e-03"	1
"46"	"SYNGAP1"	"FMR1"	NA	TRUE	TRUE	FALSE	FALSE	"SYNGAP1_wk4_1, SYNGAP1_wk4_2"	"1.1, 1.1"	"4.1e-04, 1e-03"	"0.24, 0.68"	"6.2e-02, 1.6e-02"	2
"47"	"SYNGAP1"	"FXR1"	TRUE	NA	TRUE	FALSE	FALSE	"SYNGAP1_wk3, SYNGAP1_wk4_1, SYNGAP1_wk4_2"	"1.2, 1.1, 1.1"	"3.2e-03, 4.1e-04, 1e-03"	"0.43, 0.41, 0.44"	"4.8e-02, 1.4e-02, 7.7e-02"	3
"48"	"SYNGAP1"	"GNAO1"	TRUE	NA	TRUE	FALSE	FALSE	"SYNGAP1_wk3, SYNGAP1_wk4_1, SYNGAP1_wk4_1, SYNGAP1_wk7"	"1.2, 1.1, 1.1, 1.6"	"3.2e-03, 4.1e-04, 4.1e-04, 2e-04"	"0.53, 0.48, 0.61, 0.62"	"1.3e-02, 4.2e-03, 2.0e-03, 8.2e-03"	4
"49"	"SYNGAP1"	"IGF2BP1"	TRUE	NA	TRUE	FALSE	FALSE	"SYNGAP1_wk3, SYNGAP1_wk4_2"	"1.2, 1.1"	"3.2e-03, 1e-03"	"0.34, 0.69"	"9.8e-02, 1.6e-02"	2
"50"	"SYNGAP1"	"IGF2BP2"	TRUE	NA	TRUE	FALSE	FALSE	"SYNGAP1_wk3, SYNGAP1_wk4_2"	"1.2, 1.1"	"3.2e-03, 1e-03"	"0.28, 0.67"	"8.9e-02, 1.6e-02"	2
"51"	"SYNGAP1"	"IGF2BP3"	TRUE	NA	TRUE	FALSE	FALSE	"SYNGAP1_wk3, SYNGAP1_wk4_2"	"1.2, 1.1"	"3.2e-03, 1e-03"	"0.41, 0.68"	"5.5e-02, 1.3e-02"	2
"52"	"SYNGAP1"	"ISL1"	TRUE	NA	TRUE	FALSE	FALSE	"SYNGAP1_wk2, SYNGAP1_wk3, SYNGAP1_wk4_1, SYNGAP1_wk4_2, SYNGAP1_wk7"	"0.75, 1.2, 1.1, 1.1, 1.6"	"7.3e-02, 3.2e-03, 4.1e-04, 1e-03, 2e-04"	"0.86, 1.46, 1.55, 1.47, 0.98"	"4.8e-02, 4.5e-03, 4.0e-04, 2.3e-04, 1.5e-03"	5
"53"	"SYNGAP1"	"LDB1"	TRUE	TRUE	TRUE	FALSE	FALSE	"SYNGAP1_wk3, SYNGAP1_wk4_1, SYNGAP1_wk4_2, SYNGAP1_wk7"	"1.2, 1.1, 1.1, 1.6"	"3.2e-03, 4.1e-04, 1e-03, 2e-04"	"1.81, 1.85, 1.43, 1.60"	"2.5e-03, 1.9e-04, 2.8e-04, 2.6e-04"	4
"54"	"SYNGAP1"	"NEGR1"	NA	TRUE	TRUE	FALSE	FALSE	"SYNGAP1_wk3, SYNGAP1_wk4_1, SYNGAP1_wk7"	"1.2, 1.1, 1.6"	"3.2e-03, 4.1e-04, 2e-04"	"0.57, 1.20, 0.74"	"1.5e-02, 2.8e-04, 7.3e-03"	3
"55"	"TCF4"	"CKB"	TRUE	NA	TRUE	FALSE	FALSE	"TCF4_wk1"	"1.3"	"2.4e-04"	"0.40"	"4.7e-02"	1
"56"	"TCF4"	"RUNX1T1"	FALSE	NA	FALSE	TRUE	TRUE	"TCF4_wk1"	"1.3"	"2.4e-04"	"0.76"	"4.6e-03"	1
"57"	"TCF4"	"XRCC5"	TRUE	NA	TRUE	FALSE	FALSE	"TCF4_wk1"	"1.3"	"2.4e-04"	"0.42"	"4.2e-02"	1
"58"	"TCF4"	"XRCC6"	TRUE	NA	TRUE	FALSE	FALSE	"TCF4_wk1"	"1.3"	"2.4e-04"	"0.35"	"7.5e-02"	1
