Bait	Interactor	IP	TimePoint	Labeling	Bait_logFC	Bait_FDR	Int_logFC	Int_FDR
CACNA1C	DNM2	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.3025	0.082943598
CACNA1C	FGFR1OP	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.26	0.078816503
CACNA1C	GNAI1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.256	0.077648804
CACNA1C	HSBP1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.243	0.07379879
CACNA1C	KALRN	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.269	0.072281541
CACNA1C	RAB5B	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.3095	0.071962957
CACNA1C	COX6C	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.2595	0.068455262
CACNA1C	PRKAR2B	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.2535	0.067859801
CACNA1C	PDE4DIP	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.2575	0.065490138
CACNA1C	PHB2	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.298	0.064899143
CACNA1C	SLC25A1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.2625	0.061844793
CACNA1C	PHB	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.2705	0.060454494
CACNA1C	CAMK2G	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.273	0.060454494
CACNA1C	CAMK2D	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.2725	0.059687642
CACNA1C	CEP57	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.2705	0.059560779
CACNA1C	CSNK1E	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.369	0.059560779
CACNA1C	SLC25A3	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.311	0.059252771
CACNA1C	SEMG1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	1.2525	0.058556112
CACNA1C	KRT78	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.489	0.058556112
CACNA1C	STXBP1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.2895	0.056654512
CACNA1C	CASK	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.277	0.055321052
CACNA1C	KRT1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.5215	0.055125448
CACNA1C	SLC3A2	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.281	0.053313954
CACNA1C	S100A11	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.3855	0.049662498
CACNA1C	CTNND2	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.297	0.049662498
CACNA1C	TECR	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.4655	0.049662498
CACNA1C	DSP	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.639	0.049662498
CACNA1C	CEP68	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.4935	0.049336779
CACNA1C	GNAI2	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.2945	0.049203747
CACNA1C	CEP128	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.299	0.047111703
CACNA1C	ATP6V1F	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.3665	0.046314254
CACNA1C	FYN	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.335	0.044607179
CACNA1C	GPC2	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.315	0.044308318
CACNA1C	GNAI3	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.3205	0.043791042
CACNA1C	JUP	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.6575	0.043139759
CACNA1C	KRT5	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.871	0.042603428
CACNA1C	CNTNAP1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.4125	0.040705065
CACNA1C	RBFOX2	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.3315	0.039712366
CACNA1C	CTNNB1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.3225	0.038958765
CACNA1C	PLEKHO1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.3395	0.038958765
CACNA1C	KRT14	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.756	0.038958765
CACNA1C	SERPINB12	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.333	0.037320949
CACNA1C	KRT13	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	1.212	0.036273005
CACNA1C	DYNLL2	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.399	0.035592699
CACNA1C	KRT17	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.685	0.035592699
CACNA1C	GNAS	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.34	0.034492474
CACNA1C	RAB5A	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.3405	0.033769538
CACNA1C	EMD	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.3485	0.032538927
CACNA1C	KRT4	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	1.168	0.031549327
CACNA1C	PIP	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.774	0.031549327
CACNA1C	IMPDH2	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.3625	0.030849462
CACNA1C	NEDD4L	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.3525	0.030849462
CACNA1C	DDB1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.3565	0.029096554
CACNA1C	AKAP9	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.3615	0.027968345
CACNA1C	STX1B	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.368	0.026347603
CACNA1C	GNA12	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.377	0.025640983
CACNA1C	MAP2K2	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.3735	0.025281949
CACNA1C	ROBO2	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.431	0.021636636
CACNA1C	FCF1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.392	0.021620094
CACNA1C	SYT7	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.5145	0.021291818
CACNA1C	L1CAM	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.456	0.021265069
CACNA1C	ANXA1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.8405	0.020785712
CACNA1C	ATP1B1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.4485	0.016747244
CACNA1C	CDK5RAP2	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.459	0.016148929
CACNA1C	ALB	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	1.049	0.015425166
CACNA1C	ATP9A	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.4365	0.014712875
CACNA1C	KRT19	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.5	0.01467219
CACNA1C	ATP2C1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.451	0.01420238
CACNA1C	SYT1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.446	0.013684551
CACNA1C	PLPPR3	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.452	0.013145721
CACNA1C	CACNA2D1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.5055	0.01166981
CACNA1C	VAMP2	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.543	0.010412811
CACNA1C	RAB21	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.589	0.009771491
CACNA1C	CNTN1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.508	0.009342467
CACNA1C	ATP1A1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.4965	0.009145976
CACNA1C	KRT6C	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.789	0.009145976
CACNA1C	STX12	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.525	0.008958524
CACNA1C	BTK	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	1.5245	0.008958524
CACNA1C	CASP14	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.5165	0.008956966
CACNA1C	PCNT	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.5095	0.008875193
CACNA1C	KRT16	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.782	0.008449416
CACNA1C	KRT9	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.524	0.007679812
CACNA1C	SYT4	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.5275	0.007679812
CACNA1C	SYT2	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.582	0.007022747
CACNA1C	PAPSS1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.605	0.005877347
CACNA1C	PLD3	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.5825	0.005543781
CACNA1C	ATP2B4	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.6135	0.005419026
CACNA1C	KRT6A	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.823	0.005135244
CACNA1C	LRSAM1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.585	0.005076065
CACNA1C	SYT5	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.661	0.00497173
CACNA1C	ATP1A3	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.6055	0.004593497
CACNA1C	LRRN3	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.614	0.004383176
CACNA1C	ATP1A4	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.679	0.004222166
CACNA1C	CAMKV	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.6325	0.004222166
CACNA1C	PCM1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.675	0.004209274
CACNA1C	CBARP	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.639	0.003723356
CACNA1C	JAK1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	1.0255	0.003695322
CACNA1C	EPHB2	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.6735	0.003659121
CACNA1C	ATP6V0D1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.6735	0.00363402
CACNA1C	NGFR	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.8015	0.00363402
CACNA1C	ATP2B1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.6665	0.003502534
CACNA1C	ACSL4	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.6615	0.003373044
CACNA1C	CEP131	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.6865	0.002988265
CACNA1C	ACVR1B	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.943	0.002947608
CACNA1C	TMEM55B	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.718	0.002831475
CACNA1C	TMEFF1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.8905	0.002455232
CACNA1C	MIB1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.7525	0.00218451
CACNA1C	HACD3	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.8555	0.001946547
CACNA1C	FLOT1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.8275	0.001931459
CACNA1C	ROBO1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.787	0.00188639
CACNA1C	CP	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.7965	0.001736495
CACNA1C	PCDHGC4	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	1.261	0.001726178
CACNA1C	DAAM1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.791	0.001698003
CACNA1C	SLC4A8	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.9035	0.001543312
CACNA1C	VANGL2	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.8215	0.001542415
CACNA1C	HADHB	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.841	0.001506086
CACNA1C	UBASH3B	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.813	0.001506086
CACNA1C	ADGRL3	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.8435	0.001506086
CACNA1C	ISLR2	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.852	0.001498788
CACNA1C	NPDC1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	1.0845	0.00143096
CACNA1C	ADGRL2	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.888	0.001362973
CACNA1C	ATP6V0A1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.861	0.001342082
CACNA1C	LTF	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.9375	0.001342082
