Gene	Chr	Start	End	SNP	Pvalue
RP11-296A16.1	15	44064815	44091331	rs2929278	1.592E-12
DPYD	1	97543299	98386605	rs1198588	3.599E-22
CLIP3	19	36505562	36524245	rs3810450	2.294E-09
CLIP1	12	122755979	122907179	rs143116451	1.442E-09
NDUFA4L2	12	57628686	57634498	rs61937595	3.074E-15
HOMER2	15	83509838	83654661	rs4779050	5.036E-09
SP4	7	21467652	21554440	rs7811417	1.349E-09
CA14	1	150229554	150237478	rs12138231	1.809E-09
CAMKV	3	49895421	49907655	rs2710323	6.552E-21
RAB21	12	72148654	72184699	rs12301769	4.516E-09
EIF4E3	3	71724567	71803924	rs60135207	4.802E-09
THAP3	1	6684926	6695646	rs11122119	8.494E-09
THAP8	19	36525887	36545664	rs3810450	2.294E-09
ACTR1B	2	98272431	98280570	rs7575796	2.921E-08
ACTR1A	10	104238986	104262482	rs79668541	2.389E-24
WDR73	15	85185999	85197574	rs11638554	1.369E-14
WDR76	15	44119161	44160617	rs2929278	1.592E-12
TRIM10	6	30119722	30128711	rs13195636	2.901E-41
AAAS	12	53701240	53718648	rs61928076	4.227E-08
AMHR2	12	53817639	53825318	rs61928076	4.227E-08
TRIM15	6	30130993	30140473	rs13195636	2.901E-41
PPP2R3A	3	135684515	135866733	rs7432375	1.837E-14
SFMBT1	3	52937588	53080766	rs2710323	6.552E-21
UBE2Q2L	15	84841242	84850986	rs11638554	1.369E-14
PRPF3	1	150293925	150325671	rs12138231	1.809E-09
BCL11A	2	60678302	60780702	rs7599488	2.894E-08
RELN	7	103112231	103629963	rs2299409	4.223E-08
SLC47A2	17	19581601	19622292	rs9891739	1.847E-08
RELA	11	65421067	65430565	rs58950470	1.604E-09
MRPL33	2	27994584	28210954	rs12474906	1.155E-08
ARL14EP	11	30344598	30359774	rs605765	4.385E-08
FAM120AOS	9	96208776	96215874	rs6479487	1.016E-08
THOC7	3	63819546	63849579	rs704364	7.071E-10
SMDT1	22	42475695	42480288	rs5751191	2.181E-14
RAB27B	18	52385091	52562747	rs9636107	6.216E-14
MANBA	4	103552660	103682151	rs13107325	4.671E-23
CSAD	12	53551447	53575135	rs61928076	4.227E-08
RABGAP1L	1	174128548	174964445	rs61828917	8.413E-10
PAK6	15	40509629	40569688	rs56205728	1.247E-11
UQCRC1	3	48636435	48648409	rs2710323	6.552E-21
FOXP1	3	71003844	71633140	rs60135207	4.802E-09
MSL2	3	135867764	135916083	rs7432375	1.837E-14
SERINC4	15	44086360	44092419	rs2929278	1.592E-12
KCNG2	18	77623668	77660184	rs72980087	1.015E-16
CTD-2545M3.6	19	50919056	50931666	rs2387414	2.048E-10
ZNF592	15	85291866	85349659	rs11638554	1.369E-14
YTHDF2	1	29063133	29096287	rs61786047	2.458E-08
LRFN3	19	36426260	36436669	rs3810450	2.294E-09
MED8	1	43849588	43855479	rs11210892	1.415E-16
NAGA	22	42454358	42466846	rs5751191	2.181E-14
CYP2D6	22	42522501	42526908	rs5751191	2.181E-14
TREX1	3	48506445	48509044	rs2710323	6.552E-21
SLC26A6	3	48663156	48672926	rs2710323	6.552E-21
PLCH2	1	2357419	2436969	rs6673880	1.503E-12
TKT	3	53258723	53290068	rs2710323	6.552E-21
CAMTA1	1	6845384	7829766	rs11122119	8.494E-09
TRAF3IP2	6	111877657	111927481	rs9487653	4.072E-08
TCF4	18	52889562	53332018	rs9636107	6.216E-14
TARS2	1	150459887	150480078	rs12138231	1.809E-09
NUDT1	7	2281857	2290781	rs58120505	2.838E-27
IGFBP6	12	53491220	53496129	rs61928076	4.227E-08
KLC1	14	104028233	104167888	rs10873538	1.702E-14
C19orf35	19	2274631	2282181	rs144821294	1.448E-08
GLYCTK	3	52321105	52329272	rs2710323	6.552E-21
TMEM213	7	138482695	138522846	rs10243922	3.126E-09
TRIM8	10	104404253	104418164	rs79668541	2.389E-24
KDM3B	5	137688285	137772717	rs10117	7.359E-12
TMEM219	16	29952206	29984373	rs3814883	2.791E-16
COX14	12	50505762	50514240	rs578470	4.537E-09
NXPH4	12	57610578	57620232	rs61937595	3.074E-15
EPHX2	8	27348296	27403081	rs73229090	3.146E-13
ANKRD13A	12	110436991	110477568	rs4766428	3.584E-17
EIF2B4	2	27587219	27593353	rs12474906	1.155E-08
PRKAR2A	3	48782030	48885279	rs2710323	6.552E-21
CSMD1	8	2792875	4852494	8:4180090_T_A	1.089E-11
C10orf32-ASMT	10	104614029	104661656	rs79668541	2.389E-24
CILP2	19	19649057	19657468	rs1858999	2.982E-15
TPM3	1	154127784	154167124	rs10127983	1.18E-08
ETF1	5	137841784	137878989	rs10117	7.359E-12
NDFIP2	13	80055287	80130210	rs9545047	8.523E-13
SIPA1	11	65405568	65418401	rs58950470	1.604E-09
MYT1L	2	1792885	2335032	rs6715366	2.195E-08
PHACTR4	1	28696114	28826881	rs61786047	2.458E-08
FANCA	16	89803957	89883065	rs11076631	7.285E-10
SH3RF1	4	170015407	170192256	rs61405217	2.238E-11
ZNF48	16	30389427	30411429	rs3814883	2.791E-16
CELSR3	3	48673902	48700348	rs2710323	6.552E-21
IER5L	9	131937835	131940540	rs6478858	2.473E-08
hsa-mir-150	19	50003781	50004614	rs2304205	3.469E-15
BBX	3	107241783	107530171	rs167924	3.058E-08
DOT1L	19	2164148	2232577	rs144821294	1.448E-08
METAP1D	2	172864490	172947158	rs62184960	1.559E-08
ABHD14A-ACY1	3	52009066	52023199	rs2710323	6.552E-21
AC011997.1	2	198557830	198639547	rs2914983	2.058E-14
PRDX6	1	173446405	173457946	rs61828917	8.413E-10
NFYB	12	104510855	104532067	rs10861176	3.453E-09
ZMAT2	5	140078265	140086248	rs10069930	1.726E-10
ZMAT4	8	40388109	40755352	rs34019752	4.85E-08
GOLGA6L9	15	82722223	82731338	rs4779050	5.036E-09
GOLGA6L4	15	84904525	84914120	rs11638554	1.369E-14
MMRN1	4	90800683	90875780	rs356183	1.374E-09
CAMP	3	48264837	48266981	rs2710323	6.552E-21
FYN	6	111981535	112194655	rs9487653	4.072E-08
CCDC166	8	144788864	144790279	rs11136325	1.992E-09
ZAP70	2	98330023	98356325	rs7575796	2.921E-08
ST3GAL3	1	44171495	44396831	rs11210892	1.415E-16
VASN	16	4421849	4433529	rs8048039	1.05E-08
OLA1	2	174937175	175113426	rs9287971	8.872E-09
PBX4	19	19672522	19729725	rs1858999	2.982E-15
ASCL5	1	201083081	201096312	rs12126806	2.838E-08
LACC1	13	44453420	44468068	rs11619756	1.155E-09
DPH2	1	44435672	44439041	rs11210892	1.415E-16
NSUN6	10	18834490	18940551	rs6482437	2.729E-16
DCAF7	17	61627822	61671639	rs6504163	8.246E-10
CMKLR1	12	108681821	108733118	rs3764002	2.483E-09
MON1A	3	49946302	49967606	rs2710323	6.552E-21
ZSCAN31	6	28292470	28324048	rs13195636	2.901E-41
CKB	14	103985996	103989448	rs10873538	1.702E-14
RAD9B	12	110939460	110969891	rs4766428	3.584E-17
AL049840.1	14	104177607	104179149	rs10873538	1.702E-14
B3GAT1	11	134248398	134281812	rs1440480	6.694E-12
POLR3H	22	41921808	41940610	rs5751191	2.181E-14
CACNA1I	22	39966758	40085742	rs732381	3.356E-13
EP300	22	41487790	41576081	rs5751191	2.181E-14
CACNA1C	12	2079952	2802108	rs10774034	3.213E-23
CACNA1D	3	53528683	53847760	rs2710323	6.552E-21
DCC	18	49866542	51057784	rs4632195	1.916E-09
PSD3	8	18384811	18942240	rs4298523	3.493E-08
CUL9	6	43149913	43192325	rs113113059	1.306E-11
WDR62	19	36545783	36596008	rs3810450	2.294E-09
CACNA1S	1	201008642	201081694	rs12126806	2.838E-08
WDR66	12	122355768	122441833	rs143116451	1.442E-09
CUL3	2	225334867	225450110	rs72974269	3.651E-10
CLCN3	4	170533784	170644824	rs61405217	2.238E-11
TRIM26	6	30152232	30181204	rs13195636	2.901E-41
TRIM27	6	28870779	28891766	rs13195636	2.901E-41
R3HDM2	12	57643392	57824788	rs61937595	3.074E-15
BRD8	5	137475455	137514675	rs10117	7.359E-12
FAM65B	6	24797601	25042238	rs13195636	2.901E-41
DNAJA3	16	4475806	4506776	rs8048039	1.05E-08
KAT5	11	65479467	65487075	rs58950470	1.604E-09
TTC12	11	113185251	113254266	rs2514218	1.374E-16
ACADS	12	121163538	121177811	rs2649999	5.23E-10
C16orf71	16	4784273	4799397	rs8048039	1.05E-08
C4orf27	4	170650616	170679104	rs61405217	2.238E-11
C2orf82	2	233721980	233743418	rs778371	3.759E-18
ZSCAN9	6	28192664	28201260	rs13195636	2.901E-41
ARHGAP9	12	57866038	57882597	rs61937595	3.074E-15
NDRG4	16	58496750	58547532	rs154433	3.352E-08
ARHGAP1	11	46698630	46722165	rs12285419	1.071E-16
ZSCAN2	15	85144217	85171027	rs11638554	1.369E-14
PPM1G	2	27604061	27632554	rs12474906	1.155E-08
CHD1L	1	146714291	146767443	rs61838369	3.581E-08
ABCF1	6	30539153	30564956	rs13195636	2.901E-41
PPM1M	3	52279841	52284613	rs2710323	6.552E-21
EGR1	5	137801179	137805004	rs10117	7.359E-12
EGR4	2	73518058	73520833	rs6546857	5.58E-09
CISD2	4	103790135	103810399	rs13107325	4.671E-23
DALRD3	3	49052921	49059726	rs2710323	6.552E-21
SIKE1	1	115312100	115323306	rs2224086	6.777E-09
VILL	3	38029550	38048679	rs71323641	3.893E-08
PAX4	7	127250346	127255982	rs35045093	2.021E-08
MRPL2	6	43021767	43027544	rs113113059	1.306E-11
ZNF589	3	48282590	48340743	rs2710323	6.552E-21
PCDHA11	5	140248689	140391929	rs10069930	1.726E-10
PCDHA12	5	140255058	140391929	rs10069930	1.726E-10
PCDHA13	5	140261793	140391929	rs10069930	1.726E-10
C2orf69	2	200775979	200820658	rs1658810	1.388E-16
PPP1R11	6	30034486	30038110	rs13195636	2.901E-41
PSD	10	104162376	104181296	rs79668541	2.389E-24
CAMKK2	12	121675497	121736111	rs2686386	3.385E-09
EIF4EBP3	5	139927251	139929163	rs10069930	1.726E-10
MOG	6	29624758	29640149	rs13195636	2.901E-41
AGBL2	11	47681143	47736941	rs12285419	1.071E-16
BAG4	8	38034051	38070819	rs7816998	6.229E-10
BAG5	14	104022881	104029168	rs10873538	1.702E-14
MYO1E	15	59427113	59665099	rs11854073	4.406E-08
MYO1C	17	1367392	1396106	rs3752827	1.446E-10
MYO1A	12	57422301	57444982	rs61937595	3.074E-15
CTDP1	18	77439801	77514510	rs72980087	1.015E-16
LRRC37A2	17	44588877	44633016	rs2532240	8.299E-11
CSDC2	22	41956767	41973745	rs5751191	2.181E-14
PGBD1	6	28249314	28270326	rs13195636	2.901E-41
SULT6B1	2	37394963	37423741	rs3770752	1.952E-11
DEF8	16	90014333	90034468	rs11076631	7.285E-10
ZER1	9	131492065	131534693	rs6478858	2.473E-08
PPAPDC1B	8	38120648	38126761	rs7816998	6.229E-10
TMEM205	19	11453452	11457194	rs322128	2.606E-09
PSMA4	15	78832747	78841604	rs2456020	6.32E-16
ARHGAP27	17	43471275	43511787	rs2532240	8.299E-11
ZNF101	19	19779605	19794318	rs1858999	2.982E-15
TSSK6	19	19623227	19626838	rs1858999	2.982E-15
SRF	6	43139037	43149243	rs113113059	1.306E-11
ZNF322	6	26636518	26659980	rs13195636	2.901E-41
SRR	17	2206677	2228554	rs12943566	1.401E-11
ADIG	20	37209838	37217106	rs6065094	5.725E-16
FSCN3	7	127231463	127242198	rs35045093	2.021E-08
KCNJ3	2	155554811	155714863	rs35026989	4.002E-08
EIF2AK2	2	37326353	37384208	rs3770752	1.952E-11
TDG	12	104359582	104382652	rs10861176	3.453E-09
NMB	15	85198360	85201794	rs11638554	1.369E-14
RILPL1	12	123955925	124018265	rs2102949	3.34E-23
RILPL2	12	123899936	123921264	rs2102949	3.34E-23
OR2J1	6	29068386	29069658	rs13195636	2.901E-41
OR2J2	6	29141311	29142351	rs13195636	2.901E-41
OR2J3	6	29079668	29080603	rs13195636	2.901E-41
ECM1	1	150480538	150486265	rs12138231	1.809E-09
FOXO3	6	108881038	109005977	rs2153960	4.111E-10
PEX10	1	2336236	2345236	rs6673880	1.503E-12
PRICKLE2	3	64079543	64431152	rs704364	7.071E-10
AP3B2	15	83328033	83378666	rs4779050	5.036E-09
RPL29	3	52027616	52029958	rs2710323	6.552E-21
CALCOCO1	12	54104903	54121529	rs61928076	4.227E-08
TAC3	12	57403784	57422667	rs61937595	3.074E-15
CATSPER2	15	43920701	43960316	rs2929278	1.592E-12
RGS6	14	72399156	73030654	rs2190864	2.008E-18
SLC16A10	6	111408781	111552397	rs9487653	4.072E-08
SPINK8	3	48348336	48369831	rs2710323	6.552E-21
CALHM1	10	105213144	105218645	rs79668541	2.389E-24
CALHM3	10	105232561	105238997	rs79668541	2.389E-24
CALHM2	10	105206543	105212660	rs79668541	2.389E-24
AC007952.5	17	18996287	19000150	rs4073003	2.651E-12
AC007952.6	17	19059040	19062424	rs4073003	2.651E-12
AC007952.1	17	19041448	19041895	rs4073003	2.651E-12
TMEM194A	12	57449426	57481846	rs61937595	3.074E-15
FAM154B	15	82555151	82577271	rs4779050	5.036E-09
PPP1CC	12	111157485	111180744	rs4766428	3.584E-17
MPPED2	11	30406040	30608419	rs605765	4.385E-08
CCDC175	14	59971257	60043549	rs113239787	3.777E-08
OAZ1	19	2269485	2273487	rs144821294	1.448E-08
RDH16	12	57345219	57353158	rs61937595	3.074E-15
KANK2	19	11274943	11308467	rs322128	2.606E-09
FAM178B	2	97541620	97684175	rs7575796	2.921E-08
DOLK	9	131707809	131709898	rs6478858	2.473E-08
TBC1D5	3	17198654	18486309	rs6577597	9.065E-11
PUF60	8	144898514	144912029	rs11136325	1.992E-09
ANKK1	11	113258513	113271140	rs2514218	1.374E-16
CDK2AP1	12	123745528	123756881	rs2102949	3.34E-23
SLC39A13	11	47428683	47438047	rs12285419	1.071E-16
KDM4A	1	44115829	44171186	rs11210892	1.415E-16
SNRNP35	12	123942188	123957701	rs2102949	3.34E-23
PTP4A1	6	64231666	64293492	rs9341835	1.156E-08
ZSCAN29	15	43650370	43663223	rs2929278	1.592E-12
PPP1R16B	20	37434348	37551667	rs6065094	5.725E-16
ZSCAN23	6	28399707	28411279	rs13195636	2.901E-41
TDRD9	14	104394799	104519004	rs10873538	1.702E-14
RBFA	18	77794358	77806397	rs72980087	1.015E-16
CALN1	7	71244476	71912136	rs2944821	5.605E-09
FUT10	8	33228342	33330940	rs79445414	1.944E-08
CEBPZ	2	37428755	37458856	rs3770752	1.952E-11
ABHD2	15	89630690	89745591	rs2238304	8.131E-11
WDR55	5	140044261	140053709	rs10069930	1.726E-10
TWF2	3	52262626	52273276	rs2710323	6.552E-21
CCNH	5	86687311	86708836	rs115325222	1.746E-09
TRIM39	6	30294256	30311506	rs13195636	2.901E-41
IL20RB	3	136665072	136729927	rs7432375	1.837E-14
RP11-3B7.1	3	49297518	49298744	rs2710323	6.552E-21
PTPMT1	11	47586982	47595013	rs12285419	1.071E-16
FTCDNL1	2	200625267	200715896	rs1658810	1.388E-16
PTN	7	136912088	137028611	rs13230189	2.136E-19
CCDC182	17	55821842	55822673	rs4793888	3.719E-11
NEBL	10	21068902	21463116	rs2119242	1.143E-08
PLEKHJ1	19	2230002	2237703	rs144821294	1.448E-08
AC137932.1	16	89334512	89339452	rs11076631	7.285E-10
MNT	17	2287354	2304412	rs12943566	1.401E-11
RCN3	19	50030875	50050219	rs2304205	3.469E-15
AGO1	1	36335409	36395211	rs581459	1.48E-09
ARPC3	12	110872630	110888227	rs4766428	3.584E-17
ABHD14A	3	52005442	52015212	rs2710323	6.552E-21
CDC25A	3	48198636	48229892	rs2710323	6.552E-21
TMPRSS12	12	51236703	51281667	rs578470	4.537E-09
ZNF823	19	11832080	11849824	rs72986630	2.625E-10
ANKRD23	2	97490263	97523671	rs7575796	2.921E-08
DAG1	3	49506146	49573048	rs2710323	6.552E-21
DYNC1LI2	16	66754796	66785701	rs77463171	8.688E-09
RHOA	3	49396578	49450431	rs2710323	6.552E-21
ACO2	22	41865129	41924993	rs5751191	2.181E-14
POLR2I	19	36604612	36606248	rs3810450	2.294E-09
USMG5	10	105148798	105156223	rs79668541	2.389E-24
MPL	1	43803478	43818443	rs11210892	1.415E-16
CES2	16	66968347	66978999	rs77463171	8.688E-09
SNCA	4	90645250	90759466	rs356183	1.374E-09
RER1	1	2323267	2336883	rs6673880	1.503E-12
RP11-155D18.14	3	51994317	52008032	rs2710323	6.552E-21
RNF123	3	49726932	49758962	rs2710323	6.552E-21
RNF122	8	33405273	33424643	rs79445414	1.944E-08
AGO3	1	36396319	36538101	rs581459	1.48E-09
SGSM2	17	2240792	2284352	rs12943566	1.401E-11
IQCF6	3	51812580	51813009	rs2710323	6.552E-21
IQCF5	3	51907737	51909600	rs2710323	6.552E-21
IQCF2	3	51895645	51897440	rs2710323	6.552E-21
IQCF3	3	51851620	51864876	rs2710323	6.552E-21
IQCF1	3	51928892	51937351	rs2710323	6.552E-21
FAM120A	9	96214004	96328397	rs6479487	1.016E-08
OR11A1	6	29393281	29424848	rs13195636	2.901E-41
MAPK15	8	144798429	144804628	rs11136325	1.992E-09
TMEM110-MUSTN1	3	52867137	52931578	rs2710323	6.552E-21
TRIM38	6	25963030	25987384	rs13195636	2.901E-41
OGFOD2	12	123459127	123464590	rs2102949	3.34E-23
CACNB2	10	18429606	18830798	rs6482437	2.729E-16
ZNF627	19	11670189	11729950	rs72986630	2.625E-10
TEF	22	41763337	41795330	rs5751191	2.181E-14
NEURL1	10	105253736	105352309	rs79668541	2.389E-24
GPN3	12	110890289	110907073	rs4766428	3.584E-17
GPN1	2	27851114	27874375	rs12474906	1.155E-08
NFKB1	4	103422486	103538459	rs13107325	4.671E-23
NFKB2	10	104153867	104162281	rs79668541	2.389E-24
TRIM31	6	30070674	30080883	rs13195636	2.901E-41
HIST1H1T	6	26107640	26108364	rs13195636	2.901E-41
MLXIP	12	122516628	122631894	rs143116451	1.442E-09
PLCD1	3	38048987	38071253	rs71323641	3.893E-08
HIST1H1D	6	26234440	26235216	rs13195636	2.901E-41
HIST1H1E	6	26156559	26157343	rs13195636	2.901E-41
C15orf40	15	83657193	83680393	rs4779050	5.036E-09
C10orf95	10	104209594	104211300	rs79668541	2.389E-24
HIST1H1B	6	27834570	27835359	rs13195636	2.901E-41
HIST1H1C	6	26055968	26056699	rs13195636	2.901E-41
NUP210L	1	153965161	154127592	rs10127983	1.18E-08
AC005609.1	5	140240341	140243224	rs10069930	1.726E-10
BRE	2	28112808	28561768	rs12474906	1.155E-08
PSMB2	1	36067185	36107445	rs581459	1.48E-09
KIF20A	5	137514408	137523404	rs10117	7.359E-12
ZNF311	6	28962562	28973093	rs13195636	2.901E-41
TMA7	3	48481667	48485616	rs2710323	6.552E-21
SPG7	16	89557325	89624176	rs11076631	7.285E-10
ZNF318	6	43274872	43337216	rs113113059	1.306E-11
CKMT1A	15	43985084	43991420	rs2929278	1.592E-12
CKMT1B	15	43885252	43897099	rs2929278	1.592E-12
NRIP1	21	16333556	16437321	rs9975024	1.626E-09
HIST1H2AM	6	27860477	27860963	rs13195636	2.901E-41
HIST1H2AL	6	27833034	27833606	rs13195636	2.901E-41
HIST1H2AI	6	27775899	27776429	rs13195636	2.901E-41
HIST1H2AH	6	27114861	27115317	rs13195636	2.901E-41
OVOL1	11	65554493	65564690	rs58950470	1.604E-09
HIST1H2AJ	6	27782112	27782607	rs13195636	2.901E-41
GNAT1	3	50229045	50233949	rs2710323	6.552E-21
HIST1H2AD	6	26199079	26199471	rs13195636	2.901E-41
HIST1H2AG	6	27100832	27103070	rs13195636	2.901E-41
HIST1H2AA	6	25726291	25726790	rs13195636	2.901E-41
P2RX4	12	121647660	121671909	rs2686386	3.385E-09
P2RX7	12	121570622	121623876	rs2686386	3.385E-09
CORO7	16	4404543	4475706	rs8048039	1.05E-08
SCRIB	8	144873090	144897549	rs11136325	1.992E-09
BCL2L12	19	50168823	50177173	rs2304205	3.469E-15
KCNK7	11	65360326	65363467	rs58950470	1.604E-09
MLH1	3	37034823	37107380	rs75968099	3.045E-12
FAM71E1	19	50970042	50980010	rs2387414	2.048E-10
GATAD2B	1	153777201	153895451	rs10127983	1.18E-08
NUP160	11	47799639	47870107	rs12285419	1.071E-16
NR2C2AP	19	19312225	19314233	rs1858999	2.982E-15
KBTBD4	11	47599277	47599823	rs12285419	1.071E-16
RP11-894J14.5	3	53003135	53133469	rs2710323	6.552E-21
NICN1	3	49460379	49466759	rs2710323	6.552E-21
TAB1	22	39795746	39833065	rs732381	3.356E-13
TARBP2	12	53894705	53900215	rs61928076	4.227E-08
GRIN2A	16	9852376	10276611	rs9926049	1.568E-10
KLHDC8B	3	49209044	49213917	rs2710323	6.552E-21
ATF4	22	39915700	39918691	rs732381	3.356E-13
ATF7	12	53901640	54020199	rs61928076	4.227E-08
ATF1	12	51157493	51214905	rs578470	4.537E-09
TBC1D10B	16	30368423	30381585	rs3814883	2.791E-16
TCTN1	12	111051832	111087235	rs4766428	3.584E-17
BUB1B	15	40453224	40513337	rs56205728	1.247E-11
TMCO6	5	140019012	140024993	rs10069930	1.726E-10
SNAP91	6	84262599	84419410	rs2022265	2.357E-10
SMG6	17	1963133	2207065	rs12943566	1.401E-11
C11orf31	11	57508825	57510986	rs7938083	1.041E-10
PPP2R4	9	131873229	131911225	rs6478858	2.473E-08
FAM114A2	5	153369688	153418496	rs11740474	4.025E-09
PQLC1	18	77662420	77711664	rs72980087	1.015E-16
C15ORF31	15	59439899	59440054	rs11854073	4.406E-08
DAZL	3	16628299	16711813	rs6577597	9.065E-11
SLC38A7	16	58699013	58719008	rs154433	3.352E-08
ZMYM1	1	35525387	35581460	rs581459	1.48E-09
ZMYM4	1	35734568	35887659	rs581459	1.48E-09
SLC45A1	1	8377886	8404227	rs11121172	5.064E-10
IFRD2	3	50325163	50330349	rs2710323	6.552E-21
GMIP	19	19740285	19754476	rs1858999	2.982E-15
OSBPL3	7	24836158	25021253	rs79210963	5.39E-12
DEPDC1B	5	59892739	59996017	rs7701440	1.696E-17
AKAP6	14	32798479	33300567	rs12883788	7.918E-13
HCN1	5	45259349	45696253	rs10035564	7.913E-16
ZBTB34	9	129622944	129648157	rs3739554	3.97E-09
ZSCAN12	6	28346732	28367511	rs13195636	2.901E-41
ZSCAN16	6	28092338	28097860	rs13195636	2.901E-41
ENOX1	13	43787654	44361044	rs11619756	1.155E-09
