Gene	Step1	Step2	Step3	BrainSpan
EPC2	TRUE	TRUE	FALSE	TRUE
EPHX2	TRUE	FALSE	FALSE	TRUE
ESAM	TRUE	FALSE	FALSE	TRUE
ESRP2	TRUE	FALSE	FALSE	TRUE
ETF1	TRUE	FALSE	FALSE	TRUE
EXOC6B	TRUE	FALSE	FALSE	FALSE
F2	TRUE	FALSE	FALSE	TRUE
FAM109B	TRUE	FALSE	FALSE	FALSE
FAM53C	TRUE	FALSE	FALSE	TRUE
FAM57B	TRUE	FALSE	FALSE	TRUE
FAM5B	TRUE	FALSE	FALSE	TRUE
FANCL	TRUE	FALSE	FALSE	TRUE
FCGRT	TRUE	FALSE	FALSE	TRUE
FES	TRUE	FALSE	FALSE	TRUE
FONG	TRUE	FALSE	FALSE	FALSE
FURIN	TRUE	FALSE	FALSE	TRUE
FUT9	TRUE	TRUE	FALSE	TRUE
FXR1	TRUE	FALSE	FALSE	TRUE
GALNT10	TRUE	TRUE	FALSE	TRUE
GATAD2A	TRUE	FALSE	FALSE	TRUE
GDPD3	TRUE	FALSE	FALSE	TRUE
GFOD2	TRUE	FALSE	FALSE	TRUE
GFRA3	TRUE	FALSE	FALSE	TRUE
GID4	TRUE	FALSE	FALSE	FALSE
GIGYF2	TRUE	FALSE	FALSE	TRUE
GLT8D1	TRUE	FALSE	FALSE	TRUE
GNL3	TRUE	FALSE	FALSE	TRUE
GOLGA6L4	TRUE	FALSE	FALSE	FALSE
GOLGA6L5	TRUE	FALSE	FALSE	TRUE
GPM6A	TRUE	TRUE	FALSE	TRUE
GPR182	TRUE	FALSE	FALSE	TRUE
GRAMD1B	TRUE	TRUE	FALSE	TRUE
GRIN2A	TRUE	TRUE	TRUE	TRUE
GRM3	TRUE	FALSE	FALSE	TRUE
HAPLN4	TRUE	FALSE	FALSE	TRUE
HARBI1	TRUE	FALSE	FALSE	TRUE
HARS	TRUE	FALSE	FALSE	TRUE
HARS2	TRUE	FALSE	FALSE	TRUE
HCN1	TRUE	TRUE	TRUE	TRUE
HDDC3	TRUE	FALSE	FALSE	TRUE
HIRIP3	TRUE	FALSE	FALSE	TRUE
HSPA9	TRUE	FALSE	FALSE	TRUE
HSPD1	TRUE	FALSE	FALSE	TRUE
HSPE1	TRUE	FALSE	FALSE	TRUE
HSPE1-MOB4	TRUE	FALSE	FALSE	FALSE
IGSF9B	TRUE	TRUE	FALSE	TRUE
IK	TRUE	FALSE	FALSE	TRUE
IMMP2L	TRUE	TRUE	FALSE	TRUE
INA	TRUE	FALSE	FALSE	TRUE
INO80E	TRUE	FALSE	FALSE	TRUE
IREB2	TRUE	FALSE	FALSE	TRUE
IRF3	TRUE	FALSE	FALSE	TRUE
ITIH1	TRUE	FALSE	FALSE	TRUE
ITIH3	TRUE	FALSE	FALSE	TRUE
ITIH4	TRUE	FALSE	FALSE	TRUE
KCNB1	TRUE	FALSE	FALSE	TRUE
KCNJ13	TRUE	FALSE	FALSE	TRUE
KCTD13	TRUE	FALSE	FALSE	TRUE
KDM3B	TRUE	FALSE	FALSE	TRUE
KDM4A	TRUE	FALSE	FALSE	TRUE
KDM4A-AS1	TRUE	FALSE	FALSE	FALSE
KIAA1324L	TRUE	FALSE	FALSE	TRUE
KLC1	TRUE	FALSE	FALSE	TRUE
L3MBTL2	TRUE	FALSE	FALSE	TRUE
LCAT	TRUE	FALSE	FALSE	TRUE
LHFPL3	TRUE	FALSE	FALSE	TRUE
LHFPL3-AS2	TRUE	FALSE	FALSE	FALSE
LINC00051	TRUE	FALSE	FALSE	TRUE
LINC00634	TRUE	FALSE	FALSE	FALSE
LOC100128239	TRUE	FALSE	FALSE	FALSE
LOC100216545	TRUE	FALSE	FALSE	FALSE
LOC100216546	TRUE	FALSE	FALSE	FALSE
LOC100289673	TRUE	FALSE	FALSE	FALSE
LOC100505474	TRUE	FALSE	FALSE	FALSE
LOC100505679	TRUE	FALSE	FALSE	FALSE
LOC100506874	TRUE	FALSE	FALSE	FALSE
LOC100507091	TRUE	FALSE	FALSE	FALSE
LOC148696	TRUE	FALSE	FALSE	FALSE
LOC283174	TRUE	FALSE	FALSE	TRUE
LOC388152	TRUE	FALSE	FALSE	TRUE
LOC388906	TRUE	FALSE	FALSE	FALSE
LOC440300	TRUE	FALSE	FALSE	FALSE
LOC440356	TRUE	FALSE	FALSE	FALSE
LOC642423	TRUE	FALSE	FALSE	FALSE
LOC729020	TRUE	FALSE	FALSE	FALSE
LRP1	TRUE	FALSE	FALSE	TRUE
LRRC48	TRUE	FALSE	FALSE	TRUE
MAD1L1	TRUE	TRUE	FALSE	TRUE
MAN2A1	TRUE	TRUE	FALSE	TRUE
MAN2A2	TRUE	FALSE	FALSE	TRUE
MAPK3	TRUE	FALSE	FALSE	TRUE
MARK3	TRUE	FALSE	FALSE	TRUE
MARS2	TRUE	FALSE	FALSE	TRUE
MAU2	TRUE	FALSE	FALSE	TRUE
MDK	TRUE	FALSE	FALSE	TRUE
MED19	TRUE	FALSE	FALSE	TRUE
MIR1228	TRUE	FALSE	FALSE	FALSE
MIR1281	TRUE	FALSE	FALSE	FALSE
MIR1307	TRUE	FALSE	FALSE	FALSE
MIR130A	TRUE	FALSE	FALSE	FALSE
MIR137	TRUE	FALSE	FALSE	FALSE
MIR137HG	TRUE	FALSE	FALSE	TRUE
MIR2682	TRUE	FALSE	FALSE	FALSE
MIR29B2	TRUE	FALSE	FALSE	FALSE
MIR29C	TRUE	FALSE	FALSE	FALSE
MIR3160-1	TRUE	FALSE	FALSE	FALSE
MIR3160-2	TRUE	FALSE	FALSE	FALSE
MIR33A	TRUE	FALSE	FALSE	FALSE
MIR33B	TRUE	FALSE	FALSE	FALSE
MIR3655	TRUE	FALSE	FALSE	FALSE
MIR4301	TRUE	FALSE	FALSE	FALSE
MIR4304	TRUE	FALSE	FALSE	FALSE
MIR4529	TRUE	FALSE	FALSE	FALSE
MIR4655	TRUE	FALSE	FALSE	FALSE
MIR4677	TRUE	FALSE	FALSE	FALSE
MIR4688	TRUE	FALSE	FALSE	FALSE
MIR4697	TRUE	FALSE	FALSE	FALSE
MIR5088	TRUE	FALSE	FALSE	FALSE
MIR548AI	TRUE	FALSE	FALSE	FALSE
MIR548AJ2	TRUE	FALSE	FALSE	FALSE
MIR5582	TRUE	FALSE	FALSE	FALSE
MLL5	TRUE	FALSE	FALSE	TRUE
MMP16	TRUE	TRUE	FALSE	TRUE
MOB4	TRUE	FALSE	FALSE	TRUE
MORN1	TRUE	FALSE	FALSE	TRUE
MPHOSPH9	TRUE	FALSE	FALSE	TRUE
MPP6	TRUE	FALSE	FALSE	TRUE
MRPS21	TRUE	FALSE	FALSE	TRUE
MSANTD2	TRUE	FALSE	FALSE	TRUE
MSL2	TRUE	FALSE	FALSE	TRUE
MUSTN1	TRUE	FALSE	FALSE	TRUE
MYO15A	TRUE	FALSE	FALSE	TRUE
MYO1A	TRUE	FALSE	FALSE	TRUE
NAB2	TRUE	FALSE	FALSE	TRUE
NAGA	TRUE	FALSE	FALSE	TRUE
NCAN	TRUE	FALSE	FALSE	TRUE
NCK1	TRUE	FALSE	FALSE	TRUE
NDUFA13	TRUE	FALSE	FALSE	TRUE
NDUFA2	TRUE	FALSE	FALSE	TRUE
NDUFA4L2	TRUE	FALSE	FALSE	TRUE
NDUFA6	TRUE	FALSE	FALSE	TRUE
NDUFA6-AS1	TRUE	FALSE	FALSE	FALSE
NEK1	TRUE	FALSE	FALSE	TRUE
NEK4	TRUE	FALSE	FALSE	TRUE
NFATC3	TRUE	FALSE	FALSE	TRUE
NGEF	TRUE	FALSE	FALSE	TRUE
NISCH	TRUE	FALSE	FALSE	TRUE
NMB	TRUE	FALSE	FALSE	TRUE
NOSIP	TRUE	FALSE	FALSE	TRUE
NRGN	TRUE	FALSE	FALSE	TRUE
NRN1L	TRUE	FALSE	FALSE	TRUE
NT5C2	TRUE	TRUE	FALSE	TRUE
NT5DC2	TRUE	FALSE	FALSE	TRUE
NUTF2	TRUE	FALSE	FALSE	TRUE
NXPH4	TRUE	FALSE	FALSE	TRUE
OGFOD2	TRUE	FALSE	FALSE	TRUE
OSBPL3	TRUE	FALSE	FALSE	TRUE
OTUD7B	TRUE	FALSE	FALSE	TRUE
PAK6	TRUE	FALSE	FALSE	TRUE
PANK4	TRUE	FALSE	FALSE	TRUE
PARD6A	TRUE	FALSE	FALSE	TRUE
PBRM1	TRUE	FALSE	FALSE	TRUE
PBX4	TRUE	FALSE	FALSE	TRUE
PCCB	TRUE	FALSE	FALSE	TRUE
PCDHA1	TRUE	FALSE	FALSE	FALSE
PCDHA10	TRUE	FALSE	FALSE	FALSE
PCDHA11	TRUE	FALSE	FALSE	FALSE
PCDHA12	TRUE	FALSE	FALSE	TRUE
PCDHA13	TRUE	FALSE	FALSE	FALSE
PCDHA2	TRUE	FALSE	FALSE	FALSE
PCDHA3	TRUE	FALSE	FALSE	FALSE
PCDHA4	TRUE	FALSE	FALSE	FALSE
PCDHA5	TRUE	FALSE	FALSE	FALSE
PCDHA6	TRUE	FALSE	FALSE	FALSE
PCDHA7	TRUE	FALSE	FALSE	FALSE
PCDHA8	TRUE	FALSE	FALSE	FALSE
PCDHA9	TRUE	FALSE	FALSE	FALSE
PCGF6	TRUE	FALSE	FALSE	TRUE
PDCD11	TRUE	FALSE	FALSE	TRUE
PEX10	TRUE	FALSE	FALSE	TRUE
PHGR1	TRUE	FALSE	FALSE	FALSE
PITPNM2	TRUE	FALSE	FALSE	TRUE
PLA2G15	TRUE	FALSE	FALSE	TRUE
PLCB2	TRUE	FALSE	FALSE	TRUE
PLCH2	TRUE	FALSE	FALSE	TRUE
PLCL1	TRUE	FALSE	FALSE	TRUE
PLEKHO1	TRUE	FALSE	FALSE	TRUE
PPP1R13B	TRUE	FALSE	FALSE	TRUE
PPP1R16B	TRUE	FALSE	FALSE	TRUE
PPP2R3A	TRUE	FALSE	FALSE	TRUE
PPP4C	TRUE	FALSE	FALSE	TRUE
PRICKLE2-AS1	TRUE	FALSE	FALSE	FALSE
PRKD1	TRUE	TRUE	FALSE	TRUE
PRMT1	TRUE	FALSE	FALSE	TRUE
PRMT7	TRUE	FALSE	FALSE	TRUE
PRR12	TRUE	FALSE	FALSE	FALSE
PRRG2	TRUE	FALSE	FALSE	TRUE
PRSS35	TRUE	FALSE	FALSE	TRUE
PSKH1	TRUE	FALSE	FALSE	TRUE
PSMA4	TRUE	FALSE	FALSE	TRUE
PSMB10	TRUE	FALSE	FALSE	TRUE
PSMD6	TRUE	FALSE	FALSE	TRUE
PSMD6-AS2	TRUE	FALSE	FALSE	FALSE
PTGIS	TRUE	FALSE	FALSE	TRUE
PTN	TRUE	FALSE	FALSE	TRUE
PTPRF	TRUE	FALSE	FALSE	TRUE
PUS7	TRUE	FALSE	FALSE	TRUE
R3HDM2	TRUE	FALSE	FALSE	TRUE
RAI1	TRUE	FALSE	FALSE	TRUE
RANBP10	TRUE	FALSE	FALSE	TRUE
RANGAP1	TRUE	FALSE	FALSE	TRUE
RBX1	TRUE	FALSE	FALSE	TRUE
RCN3	TRUE	FALSE	FALSE	TRUE
REEP2	TRUE	FALSE	FALSE	TRUE
RER1	TRUE	FALSE	FALSE	TRUE
RERE	TRUE	FALSE	FALSE	TRUE
RFTN2	TRUE	FALSE	FALSE	TRUE
RGS6	TRUE	TRUE	FALSE	TRUE
RILPL1	TRUE	FALSE	FALSE	FALSE
RILPL2	TRUE	FALSE	FALSE	FALSE
RIMS1	TRUE	TRUE	TRUE	TRUE
RLTPR	TRUE	FALSE	FALSE	FALSE
RPS19BP1	TRUE	FALSE	FALSE	TRUE
RRAS	TRUE	FALSE	FALSE	TRUE
SATB2	TRUE	TRUE	TRUE	TRUE
SATB2-AS1	TRUE	FALSE	FALSE	TRUE
SBNO1	TRUE	FALSE	FALSE	TRUE
SCAF1	TRUE	FALSE	FALSE	TRUE
SCAND2P	TRUE	FALSE	FALSE	FALSE
SCARA3	TRUE	FALSE	FALSE	TRUE
SDCCAG8	TRUE	TRUE	FALSE	TRUE
SEPT3	TRUE	FALSE	FALSE	TRUE
SERPING1	TRUE	FALSE	FALSE	TRUE
SETD8	TRUE	FALSE	FALSE	TRUE
SEZ6L2	TRUE	FALSE	FALSE	TRUE
SF3B1	TRUE	FALSE	FALSE	TRUE
SFMBT1	TRUE	FALSE	FALSE	TRUE
SGSM2	TRUE	FALSE	FALSE	TRUE
SHISA8	TRUE	FALSE	FALSE	FALSE
SHMT2	TRUE	FALSE	FALSE	TRUE
SLC12A4	TRUE	FALSE	FALSE	TRUE
SLC32A1	TRUE	FALSE	FALSE	TRUE
SLC35G2	TRUE	FALSE	FALSE	TRUE
SLC38A7	TRUE	FALSE	FALSE	TRUE
SLC39A8	TRUE	TRUE	FALSE	TRUE
SLC45A1	TRUE	FALSE	FALSE	FALSE
SLC4A10	TRUE	FALSE	FALSE	TRUE
SLC7A6	TRUE	FALSE	FALSE	TRUE
SLC7A6OS	TRUE	FALSE	FALSE	TRUE
SMCR5	TRUE	FALSE	FALSE	TRUE
SMDT1	TRUE	FALSE	FALSE	FALSE
SMG6	TRUE	FALSE	FALSE	TRUE
SMIM15	TRUE	FALSE	FALSE	FALSE
SMIM4	TRUE	FALSE	FALSE	FALSE
SNAP91	TRUE	FALSE	FALSE	TRUE
SNORD19	TRUE	FALSE	FALSE	FALSE
SNORD19B	TRUE	FALSE	FALSE	FALSE
SNORD63	TRUE	FALSE	FALSE	FALSE
SNORD67	TRUE	FALSE	FALSE	FALSE
SNORD69	TRUE	FALSE	FALSE	FALSE
SNORD91A	TRUE	FALSE	FALSE	FALSE
SNORD91B	TRUE	FALSE	FALSE	FALSE
SNRNP35	TRUE	FALSE	FALSE	TRUE
SNX19	TRUE	TRUE	FALSE	TRUE
SOX2-OT	TRUE	FALSE	FALSE	TRUE
SPA17	TRUE	FALSE	FALSE	TRUE
SPATA31D1	TRUE	TRUE	FALSE	FALSE
SPCS1	TRUE	FALSE	FALSE	TRUE
SREBF1	TRUE	FALSE	FALSE	TRUE
SREBF2	TRUE	FALSE	FALSE	TRUE
SRPK2	TRUE	FALSE	FALSE	TRUE
SRR	TRUE	FALSE	FALSE	TRUE
ST3GAL3	TRUE	FALSE	FALSE	TRUE
STAB1	TRUE	FALSE	FALSE	TRUE
STAC3	TRUE	FALSE	FALSE	TRUE
STAG1	TRUE	FALSE	FALSE	TRUE
STAT6	TRUE	FALSE	FALSE	TRUE
SUFU	TRUE	FALSE	FALSE	TRUE
SUGP1	TRUE	FALSE	FALSE	TRUE
SYNGAP1	TRUE	TRUE	TRUE	TRUE
TAC3	TRUE	FALSE	FALSE	TRUE
TAF5	TRUE	FALSE	FALSE	TRUE
TAOK2	TRUE	FALSE	FALSE	TRUE
TBC1D5	TRUE	TRUE	FALSE	TRUE
TBX6	TRUE	FALSE	FALSE	TRUE
TCF20	TRUE	FALSE	FALSE	TRUE
TCF4	TRUE	TRUE	TRUE	TRUE
THAP11	TRUE	FALSE	FALSE	TRUE
THOC7	TRUE	FALSE	FALSE	TRUE
TM6SF2	TRUE	FALSE	FALSE	TRUE
TMCO6	TRUE	FALSE	FALSE	TRUE
TMEM110	TRUE	FALSE	FALSE	TRUE
TMEM110-MUSTN1	TRUE	FALSE	FALSE	FALSE
TMEM194A	TRUE	FALSE	FALSE	FALSE
TMEM219	TRUE	FALSE	FALSE	TRUE
TMTC1	TRUE	TRUE	FALSE	TRUE
TMX2	TRUE	FALSE	FALSE	FALSE
TMX2-CTNND1	TRUE	FALSE	FALSE	FALSE
TNFRSF13C	TRUE	FALSE	FALSE	TRUE
TOM1L2	TRUE	FALSE	FALSE	TRUE
TRANK1	TRUE	TRUE	FALSE	FALSE
TRIM8	TRUE	FALSE	FALSE	TRUE
TRMT61A	TRUE	FALSE	FALSE	TRUE
TSNARE1	TRUE	TRUE	FALSE	TRUE
TSNAXIP1	TRUE	FALSE	FALSE	TRUE
TSR1	TRUE	FALSE	FALSE	TRUE
TSSK6	TRUE	FALSE	FALSE	TRUE
TYW5	TRUE	FALSE	FALSE	TRUE
UBE2Q2P1	TRUE	FALSE	FALSE	TRUE
UNC45A	TRUE	FALSE	FALSE	TRUE
USMG5	TRUE	FALSE	FALSE	TRUE
VPS45	TRUE	FALSE	FALSE	TRUE
VRK2	TRUE	FALSE	FALSE	TRUE
VSIG2	TRUE	FALSE	FALSE	TRUE
VTRNA1-1	TRUE	FALSE	FALSE	FALSE
VTRNA1-2	TRUE	FALSE	FALSE	FALSE
VTRNA1-3	TRUE	FALSE	FALSE	FALSE
WBP1L	TRUE	FALSE	FALSE	TRUE
WBP2NL	TRUE	FALSE	FALSE	TRUE
WDR55	TRUE	FALSE	FALSE	TRUE
WDR73	TRUE	FALSE	FALSE	TRUE
XRCC3	TRUE	FALSE	FALSE	TRUE
YJEFN3	TRUE	FALSE	FALSE	TRUE
YPEL3	TRUE	FALSE	FALSE	TRUE
YPEL4	TRUE	FALSE	FALSE	TRUE
ZBTB39	TRUE	FALSE	FALSE	TRUE
ZC3H7B	TRUE	FALSE	FALSE	TRUE
ZDHHC5	TRUE	FALSE	FALSE	TRUE
ZFYVE21	TRUE	FALSE	FALSE	TRUE
ZMAT2	TRUE	FALSE	FALSE	TRUE
ZNF408	TRUE	FALSE	FALSE	TRUE
ZNF536	TRUE	TRUE	FALSE	TRUE
ZNF804A	TRUE	TRUE	TRUE	TRUE
ZSCAN2	TRUE	FALSE	FALSE	TRUE
ZSWIM6	TRUE	FALSE	FALSE	FALSE
